Category,Base_Question,Thing,Question,Prefix,parametric-llama,base_proba-llama,counterfactual-llama,base_cf_proba-llama,contextual-llama,ctx_proba-llama,ctx_param_proba-llama,comparison-llama
person,In what city was {person} born?,Leonardo da Vinci,In what city was Leonardo da Vinci born?,Leonardo da Vinci was born in,Vinci,0.8884361,Alexandria Egypt,1.5015917e-06,Alexandria Egypt,0.6630457,0.0020905104,Counterfactual
person,In what city was {person} born?,Cleopatra,In what city was Cleopatra born?,Cleopatra was born in,Alexandria Egypt,0.61825615,Mingora Swat Valley Pakistan,7.7944134e-07,Mingora Swat Valley Pakistan,0.8952446,8.062153e-06,Counterfactual
person,In what city was {person} born?,Neil Armstrong,In what city was Neil Armstrong born?,Neil Armstrong was born in,Wapakoneta Ohio,0.88321537,Vinci,6.0875806e-08,Vinci,0.5801944,0.009780004,Counterfactual
person,In what city was {person} born?,Malala Yousafzai,In what city was Malala Yousafzai born?,Malala Yousafzai was born in,Mingora Swat Valley Pakistan,0.61486685,"Warsaw, Poland",2.508431e-07,Warsaw,0.9087598,6.380454e-06,Counterfactual
person,In what city was {person} born?,Confucius,In what city was Confucius born?,Confucius was born in,Qufu,0.8704254,Wapakoneta Ohio,9.913808e-06,Wapakoneta Ohio,0.8408632,0.00093266496,Counterfactual
person,In what city was {person} born?,Mansa Musa,In what city was Mansa Musa born?,Mansa Musa was born in,Niani,0.64945304,"Erode, India",1.1651812e-05,Erode,0.9569619,0.00010458473,Counterfactual
person,In what city was {person} born?,Florence Nightingale,In what city was Florence Nightingale born?,Florence Nightingale was born in,Florence Italy,0.56849325,Vinci,8.1812956e-08,Florence,0.5047809,0.03973793,Parametric
person,In what city was {person} born?,Srinivasa Ramanujan,In what city was Srinivasa Ramanujan born?,Srinivasa Ramanujan was born in,"Erode, India",0.69021416,Wapakoneta Ohio,2.6527669e-06,Kumbakonam,0.8511424,0.005737214,Other
person,What is the date of death of {person}?,Albert Einstein,What is the date of death of Albert Einstein?,The date of death of Albert Einstein is,"April 18, 1955",0.8963517,"May 2, 1519",0.17163189,May 2 1519,0.9189345,0.086936064,Counterfactual
person,What is the date of death of {person}?,Marie Curie,What is the date of death of Marie Curie?,The date of death of Marie Curie is,"July 4, 1934",0.89961064,"May 2, 1519",0.16970013,May 2 1519,0.88206106,0.096098565,Counterfactual
person,What is the date of death of {person}?,Leonardo da Vinci,What is the date of death of Leonardo da Vinci?,The date of death of Leonardo da Vinci is,"May 2, 1519",0.879814,479 BC,0.015167967,479 BC,0.9050841,0.020339515,Counterfactual
person,What is the date of death of {person}?,Cleopatra,What is the date of death of Cleopatra?,The date of death of Cleopatra is,30 BC,0.43846056,"August 13, 1910",0.025653666,"August 13, 1910",0.92781466,0.0033786215,Counterfactual
person,What is the date of death of {person}?,Neil Armstrong,What is the date of death of Neil Armstrong?,The date of death of Neil Armstrong is,"August 25, 2012",0.9116531,26 April 1920,0.027538233,26 April 1920,0.9711425,0.0001881397,Counterfactual
person,What is the date of death of {person}?,Malala Yousafzai,What is the date of death of Malala Yousafzai?,The date of death of Malala Yousafzai is,not known as she is still alive,0.690471,"July 4, 1934",0.0015613863,"July 4, 1934",0.9214519,0.0021139411,Counterfactual
person,What is the date of death of {person}?,Confucius,What is the date of death of Confucius?,The date of death of Confucius is,479 BC,0.64183754,not known as she is still alive,0.007921325,not known,0.89647305,0.00015762156,Counterfactual
person,What is the date of death of {person}?,Mansa Musa,What is the date of death of Mansa Musa?,The date of death of Mansa Musa is,unknown,0.3097852,479 BC,0.019100625,479 BC,0.9335092,0.00059232215,Counterfactual
person,What is the date of death of {person}?,Florence Nightingale,What is the date of death of Florence Nightingale?,The date of death of Florence Nightingale is,"August 13, 1910",0.8782608,not known as she is still alive,3.782094e-05,not known,0.92173994,0.00018316648,Counterfactual
person,What is the date of death of {person}?,Srinivasa Ramanujan,What is the date of death of Srinivasa Ramanujan?,The date of death of Srinivasa Ramanujan is,26 April 1920,0.85099715,30 BC,0.035364512,30 BC,0.8241927,0.072468765,Counterfactual
person,What is the primary profession of {person}?,Albert Einstein,What is the primary profession of Albert Einstein?,The primary profession of Albert Einstein is,physicist,0.5064339,a queen,0.009230099,a queen,0.85448915,1.1179541e-05,Counterfactual
person,What is the primary profession of {person}?,Marie Curie,What is the primary profession of Marie Curie?,The primary profession of Marie Curie is,a physicist and chemist,0.67369914,nursing,5.140665e-07,nursing,0.865412,0.0042849537,Counterfactual
person,What is the primary profession of {person}?,Leonardo da Vinci,What is the primary profession of Leonardo da Vinci?,The primary profession of Leonardo da Vinci is,an artist,0.57681566,a physicist and chemist,0.011643326,a physicist and chemist,0.9262354,0.0010215332,Counterfactual
person,What is the primary profession of {person}?,Cleopatra,What is the primary profession of Cleopatra?,The primary profession of Cleopatra is,a queen,0.3651411,physicist,6.654108e-07,physicist,0.8981604,0.003713032,Counterfactual
person,What is the primary profession of {person}?,Neil Armstrong,What is the primary profession of Neil Armstrong?,The primary profession of Neil Armstrong is,astronaut,0.55848444,physicist,5.101298e-06,physicist,0.8780367,0.00018488063,Counterfactual
person,What is the primary profession of {person}?,Malala Yousafzai,What is the primary profession of Malala Yousafzai?,The primary profession of Malala Yousafzai is,an education activist,0.5175126,a physicist and chemist,0.01959567,a physicist and chemist,0.8089553,0.004989332,Counterfactual
person,What is the primary profession of {person}?,Confucius,What is the primary profession of Confucius?,The primary profession of Confucius is,a teacher,0.60573375,a king,0.026760532,a king,0.8287933,0.05726154,Counterfactual
person,What is the primary profession of {person}?,Mansa Musa,What is the primary profession of Mansa Musa?,The primary profession of Mansa Musa is,a king,0.58044124,an artist,0.002466899,an artist,0.7814298,0.011646862,Counterfactual
person,What is the primary profession of {person}?,Florence Nightingale,What is the primary profession of Florence Nightingale?,The primary profession of Florence Nightingale is,nursing,0.4737477,a physicist and chemist,0.022798693,a physicist and chemist,0.9004946,0.00012603546,Counterfactual
person,What is the primary profession of {person}?,Srinivasa Ramanujan,What is the primary profession of Srinivasa Ramanujan?,The primary profession of Srinivasa Ramanujan is,Mathematician,0.74568486,an artist,0.000651834,an artist,0.750903,0.00021848381,Counterfactual
person,What is {person} primarily known for?,Albert Einstein,What is Albert Einstein primarily known for?,Albert Einstein is primarily known for,his theory of relativity and the famous equation E=mc2,0.80562973,her pioneering work in radioactivity and the discovery of the elements polonium and,0.0005398563,her pioneering work in radioactivity and the discovery of the elements polonium and,0.95086724,0.0026699516,Counterfactual
person,What is {person} primarily known for?,Marie Curie,What is Marie Curie primarily known for?,Marie Curie is primarily known for,her pioneering work in radioactivity and the discovery of the elements polonium and,0.7424797,her work in the field of nursing and her contributions to the development of modern,0.035580713,her work in the field of nursing and her contributions to the development of modern,0.8834686,0.044914193,Counterfactual
person,What is {person} primarily known for?,Leonardo da Vinci,What is Leonardo da Vinci primarily known for?,Leonardo da Vinci is primarily known for,his art and inventions,0.63413686,his teachings on ethics and morality,0.042897906,his teachings on ethics and morality,0.94747853,0.056101475,Counterfactual
person,What is {person} primarily known for?,Cleopatra,What is Cleopatra primarily known for?,Cleopatra is primarily known for,being the last active pharaoh of Ancient Egypt and her romantic relationships with Julius,0.7523859,being the first person to walk on the moon,0.08680304,being the first person to walk on the moon,0.9558344,0.1141638,Counterfactual
person,What is {person} primarily known for?,Neil Armstrong,What is Neil Armstrong primarily known for?,Neil Armstrong is primarily known for,being the first person to walk on the moon,0.925631,his teachings on ethics and morality,0.0004037759,his teachings on ethics and morality,0.94990826,0.0009855331,Counterfactual
person,What is {person} primarily known for?,Malala Yousafzai,What is Malala Yousafzai primarily known for?,Malala Yousafzai is primarily known for,being a survivor of a Taliban assassination attempt and a Nobel Peace Prize laureate,0.68343526,her pioneering work in radioactivity and the discovery of the elements polonium and,0.0120291095,her pioneering work in radioactivity and the discovery of the elements polonium and,0.9157601,0.0025960603,Counterfactual
person,What is {person} primarily known for?,Confucius,What is Confucius primarily known for?,Confucius is primarily known for,his teachings on ethics and morality,0.60287064,being the last active pharaoh of Ancient Egypt and her romantic relationships with Julius,0.002610487,being the last active pharaoh of Ancient Egypt and her romantic relationships with Julius,0.9264759,0.0019303669,Counterfactual
person,What is {person} primarily known for?,Mansa Musa,What is Mansa Musa primarily known for?,Mansa Musa is primarily known for,being the richest person in history,0.6312792,being the last active pharaoh of Ancient Egypt and her romantic relationships with Julius,0.065092325,being the last active pharaoh of Ancient Egypt,0.9655965,0.12372255,Counterfactual
person,What is {person} primarily known for?,Florence Nightingale,What is Florence Nightingale primarily known for?,Florence Nightingale is primarily known for,her work in the field of nursing and her contributions to the development of modern,0.57955945,being the last active pharaoh of Ancient Egypt and her romantic relationships with Julius,0.008301058,being the last active pharaoh of Ancient Egypt and her romantic relationships with Julius,0.919983,0.006261979,Counterfactual
person,What is {person} primarily known for?,Srinivasa Ramanujan,What is Srinivasa Ramanujan primarily known for?,Srinivasa Ramanujan is primarily known for,his contributions to number theory,0.79088414,his art and inventions,0.046403285,his art and inventions,0.7021084,0.04179487,Counterfactual
person,What's the main nationality of {person}?,Albert Einstein,What's the main nationality of Albert Einstein?,Albert Einstein is,German Swiss,0.30849248,Indian,1.568807e-06,Indian,0.53409004,0.004441342,Counterfactual
person,What's the main nationality of {person}?,Marie Curie,What's the main nationality of Marie Curie?,Marie Curie is,Polish,0.52586836,British,1.3228019e-05,British,0.6041868,0.012674391,Counterfactual
person,What's the main nationality of {person}?,Leonardo da Vinci,What's the main nationality of Leonardo da Vinci?,Leonardo da Vinci is,Italian,0.7780826,Polish,1.2340345e-06,Polish,0.44147912,0.016253866,Counterfactual
person,What's the main nationality of {person}?,Cleopatra,What's the main nationality of Cleopatra?,Cleopatra is,Egyptian,0.6324061,Polish,6.246565e-07,Polish,0.7708021,0.0010918033,Counterfactual
person,What's the main nationality of {person}?,Neil Armstrong,What's the main nationality of Neil Armstrong?,Neil Armstrong is,American,0.6288127,Chinese,9.453943e-06,Chinese,0.7764182,0.0021700906,Counterfactual
person,What's the main nationality of {person}?,Malala Yousafzai,What's the main nationality of Malala Yousafzai?,Malala Yousafzai is,Pakistani,0.52045244,Indian,6.847536e-06,Indian,0.31108534,0.014706179,Counterfactual
person,What's the main nationality of {person}?,Confucius,What's the main nationality of Confucius?,Confucius is,Chinese,0.6229449,British,3.7356514e-07,British,0.8169457,0.0038841276,Counterfactual
person,What's the main nationality of {person}?,Mansa Musa,What's the main nationality of Mansa Musa?,Mansa Musa is,a Muslim from Mali,0.30280384,Polish,6.49842e-09,Polish,0.6874266,0.0046837693,Counterfactual
person,What's the main nationality of {person}?,Florence Nightingale,What's the main nationality of Florence Nightingale?,Florence Nightingale is,British,0.5772073,American,0.00017137537,American,0.71636987,0.0044421903,Counterfactual
person,What's the main nationality of {person}?,Srinivasa Ramanujan,What's the main nationality of Srinivasa Ramanujan?,Srinivasa Ramanujan is,Indian,0.5132601,British,7.03192e-05,British,0.5684876,0.007944103,Counterfactual
person,What educational institution did {person} attend?,Albert Einstein,What educational institution did Albert Einstein attend?,Albert Einstein attended,the Swiss Federal Polytechnic University,0.8265366,the Library of Alexandria,0.02844373,the University of Zurich,0.68203926,0.026088055,Other
person,What educational institution did {person} attend?,Marie Curie,What educational institution did Marie Curie attend?,Marie Curie attended,the Flying University in Warsaw and the Sorbonne in Paris,0.7517907,the Institution for the Care and Instruction of Deaf and Dumb Children in,0.058800697,the Institution for the Care and Instruction of Deaf and Dumb Children in,0.93256354,0.104872234,Counterfactual
person,What educational institution did {person} attend?,Leonardo da Vinci,What educational institution did Leonardo da Vinci attend?,Leonardo da Vinci attended,the University of Pavia,0.7648738,the Flying University in Warsaw and the Sorbonne in Paris,0.03745304,the Flying University in Warsaw and the Sorbonne in Paris,0.92758733,0.04848105,Counterfactual
person,What educational institution did {person} attend?,Cleopatra,What educational institution did Cleopatra attend?,Cleopatra attended,the Library of Alexandria,0.6909002,the University of Oxford,0.10266682,the University of Oxford,0.84731543,0.09456356,Counterfactual
person,What educational institution did {person} attend?,Neil Armstrong,What educational institution did Neil Armstrong attend?,Neil Armstrong attended,Purdue University,0.86673963,Government Arts College in Kumbakonam,0.00012876689,Government Arts College in Kumbakonam,0.95958644,5.375604e-07,Counterfactual
person,What educational institution did {person} attend?,Malala Yousafzai,What educational institution did Malala Yousafzai attend?,Malala Yousafzai attended,the University of Oxford,0.69417095,the State Academy of Lu,0.012277561,the State Academy of Lu,0.85711515,0.048429526,Counterfactual
person,What educational institution did {person} attend?,Confucius,What educational institution did Confucius attend?,Confucius attended,the State Academy of Lu,0.4181034,the Library of Alexandria,0.03827225,the Library of Alexandria,0.8200593,0.04298919,Counterfactual
person,What educational institution did {person} attend?,Mansa Musa,What educational institution did Mansa Musa attend?,Mansa Musa attended,the University of Al-Karaouine,0.74498624,the Swiss Federal Polytechnic University,0.011064557,Swiss Federal Polytechnic University,0.89446163,0.02945131,Counterfactual
person,What educational institution did {person} attend?,Florence Nightingale,What educational institution did Florence Nightingale attend?,Florence Nightingale attended,the Institution for the Care and Instruction of Deaf and Dumb Children in,0.71962744,the Library of Alexandria,0.046842936,the Library of Alexandria,0.66383046,0.04186378,Counterfactual
person,What educational institution did {person} attend?,Srinivasa Ramanujan,What educational institution did Srinivasa Ramanujan attend?,Srinivasa Ramanujan attended,Government Arts College in Kumbakonam,0.7923643,the University of Al-Karaouine,0.013591803,the University of Al-Karaouine,0.9234904,9.9307195e-05,Counterfactual
city,What country is {city} in?,Tokyo,What country is Tokyo in?,Tokyo is in,Japan,0.9700529,Turkey,1.2376964e-07,Turkey,0.9390858,0.0012593662,Counterfactual
city,What country is {city} in?,Cairo,What country is Cairo in?,Cairo is in,Egypt,0.9872951,Mexico,7.396448e-08,Mexico,0.8170004,0.009173695,Counterfactual
city,What country is {city} in?,New York,What country is New York in?,New York is in,the United States,0.90383005,India,1.6388874e-06,India,0.95476717,0.0005978585,Counterfactual
city,What country is {city} in?,Paris,What country is Paris in?,Paris is in,France,0.95497507,Israel,5.790611e-07,Israel,0.8892758,0.0036733712,Counterfactual
city,What country is {city} in?,Mumbai,What country is Mumbai in?,Mumbai is in,India,0.975224,the United States,0.0007362282,the United States,0.83752173,0.011019534,Counterfactual
city,What country is {city} in?,Jerusalem,What country is Jerusalem in?,Jerusalem is in,Israel,0.8747619,France,1.0963829e-06,France,0.9424954,0.00066606567,Counterfactual
city,What country is {city} in?,Tenochtitlan,What country is Tenochtitlan in?,Tenochtitlan is in,Mexico,0.9261369,the United States,0.0003167429,Mexico,0.47238323,0.031492222,Parametric
city,What country is {city} in?,Istanbul,What country is Istanbul in?,Istanbul is in,Turkey,0.9172091,Japan,8.7450894e-07,Japan,0.8892351,0.0050997273,Counterfactual
city,What country is {city} in?,Shanghai,What country is Shanghai in?,Shanghai is in,China,0.9118327,India,1.3257447e-06,India,0.9202526,0.0021323604,Counterfactual
city,What country is {city} in?,Baghdad,What country is Baghdad in?,Baghdad is in,Iraq,0.9557496,Turkey,3.357817e-06,Turkey,0.9262868,0.0007834686,Counterfactual
city,What's the highest administrative subdivision {city} is part of?,Tokyo,What's the highest administrative subdivision Tokyo is part of?,Tokyo is part of,the Kantō region,0.63488865,the United States,0.034395516,the state of California,0.52006364,0.032916423,Other
city,What's the highest administrative subdivision {city} is part of?,Cairo,What's the highest administrative subdivision Cairo is part of?,Cairo is part of,the Cairo Governorate,0.69630307,the United States,0.03232303,the state of Illinois,0.4974466,0.02843296,Other
city,What's the highest administrative subdivision {city} is part of?,New York,What's the highest administrative subdivision New York is part of?,New York is part of,the United States,0.826606,the Île-de-France region,0.050700203,the Île-de-France region,0.8284025,0.04290448,Counterfactual
city,What's the highest administrative subdivision {city} is part of?,Paris,What's the highest administrative subdivision Paris is part of?,Paris is part of,the Île-de-France region,0.8645274,the United States,0.042785432,the state of Paris,0.4127081,0.034687206,Other
city,What's the highest administrative subdivision {city} is part of?,Mumbai,What's the highest administrative subdivision Mumbai is part of?,Mumbai is part of,Maharashtra state,0.40179735,the Kantō region,0.026497921,the state of Maharashtra,0.5860245,0.030400014,Other
city,What's the highest administrative subdivision {city} is part of?,Jerusalem,What's the highest administrative subdivision Jerusalem is part of?,Jerusalem is part of,the State of Israel and the Palestinian territories,0.57278585,the Cairo Governorate,0.03209011,the Cairo Governorate,0.8219737,0.02950579,Counterfactual
city,What's the highest administrative subdivision {city} is part of?,Tenochtitlan,What's the highest administrative subdivision Tenochtitlan is part of?,Tenochtitlan is part of,Mexico City,0.5291232,Iraq,2.785815e-07,a province,0.20906834,0.00013704471,Other
city,What's the highest administrative subdivision {city} is part of?,Istanbul,What's the highest administrative subdivision Istanbul is part of?,Istanbul is part of,the Marmara Region,0.73596424,Mexico City,2.900336e-05,Mexico City,0.5914922,0.009398534,Counterfactual
city,What's the highest administrative subdivision {city} is part of?,Shanghai,What's the highest administrative subdivision Shanghai is part of?,Shanghai is part of,the province of Jiangsu,0.6444565,Iraq,8.049024e-09,Iraq,0.47075745,0.0040705744,Counterfactual
city,What's the highest administrative subdivision {city} is part of?,Baghdad,What's the highest administrative subdivision Baghdad is part of?,Baghdad is part of,Iraq,0.31622538,Maharashtra state,2.4853878e-05,a district,0.37473515,2.5908298e-06,Other
city,In what year was {city} founded?,Tokyo,In what year was Tokyo founded?,Tokyo was founded in,1457,0.95204276,969 AD,0.05916382,969 AD,0.8782057,0.06384696,Counterfactual
city,In what year was {city} founded?,Cairo,In what year was Cairo founded?,Cairo was founded in,969 AD,0.77416795,1508,0.061775047,1508,0.97653407,0.06416871,Counterfactual
city,In what year was {city} founded?,New York,In what year was New York founded?,New York was founded in,1624,0.8666315,1508,0.0648358,1508,0.9442015,0.062348958,Counterfactual
city,In what year was {city} founded?,Paris,In what year was Paris founded?,Paris was founded in,259 BC,0.7268048,969 AD,0.056969814,969 AD,0.8900344,0.06175347,Counterfactual
city,In what year was {city} founded?,Mumbai,In what year was Mumbai founded?,Mumbai was founded in,1508,0.6078622,660 BC,0.057453945,660 BC,0.955893,0.062736675,Counterfactual
city,In what year was {city} founded?,Jerusalem,In what year was Jerusalem founded?,Jerusalem was founded in,3000 BC,0.6919415,969 AD,0.0515403,969 AD,0.9245061,0.06363546,Counterfactual
city,In what year was {city} founded?,Tenochtitlan,In what year was Tenochtitlan founded?,Tenochtitlan was founded in,1325,0.9705205,3000 BC,0.061335016,3000 BC,0.96116036,0.06256109,Counterfactual
city,In what year was {city} founded?,Istanbul,In what year was Istanbul founded?,Istanbul was founded in,660 BC,0.77819824,1457,0.059971176,1457,0.8953128,0.064493336,Counterfactual
city,In what year was {city} founded?,Shanghai,In what year was Shanghai founded?,Shanghai was founded in,1291,0.91649294,1457,0.06125873,1457,0.9801462,0.06448464,Counterfactual
city,In what year was {city} founded?,Baghdad,In what year was Baghdad founded?,Baghdad was founded in,762 AD,0.7459863,259 BC,0.056131855,259 BC,0.9106178,0.06455905,Counterfactual
city,What major river is nearest to {city}?,Tokyo,What major river is nearest to Tokyo?,The nearest major river to Tokyo is,the Sumida River,0.85453117,the Hudson River,0.05046936,the Hudson River,0.88282675,0.053275354,Counterfactual
city,What major river is nearest to {city}?,Cairo,What major river is nearest to Cairo?,The nearest major river to Cairo is,the Nile River,0.8825874,the Yangtze River,0.060889944,the Yangtze River,0.9429606,0.056965854,Counterfactual
city,What major river is nearest to {city}?,New York,What major river is nearest to New York?,The nearest major river to New York is,the Hudson River,0.8912117,the Rio Grande de Chapultepec,0.05884639,the Rio Grande de Chapultepec,0.9657122,0.05699976,Counterfactual
city,What major river is nearest to {city}?,Paris,What major river is nearest to Paris?,The nearest major river to Paris is,the Seine River,0.7892668,the Ulhas River,0.08196806,the Ulhas River,0.9211873,0.12844642,Counterfactual
city,What major river is nearest to {city}?,Mumbai,What major river is nearest to Mumbai?,The nearest major river to Mumbai is,the Ulhas River,0.72518015,the Seine River,0.08678876,the Seine River,0.9166046,0.12184611,Counterfactual
city,What major river is nearest to {city}?,Jerusalem,What major river is nearest to Jerusalem?,The nearest major river to Jerusalem is,the Jordan River,0.89199203,the Sumida River,0.060600016,the Sumida River,0.93448484,0.059674665,Counterfactual
city,What major river is nearest to {city}?,Tenochtitlan,What major river is nearest to Tenochtitlan?,The nearest major river to Tenochtitlan is,the Rio Grande de Chapultepec,0.56507546,the Ulhas River,0.058165714,the Ulhas River,0.9289205,0.05824366,Counterfactual
city,What major river is nearest to {city}?,Istanbul,What major river is nearest to Istanbul?,The nearest major river to Istanbul is,the Bosphorus which is a strait that connects the Black Sea to,0.7011439,the Nile River,0.04676897,the Nile River,0.8742781,0.116647884,Counterfactual
city,What major river is nearest to {city}?,Shanghai,What major river is nearest to Shanghai?,The nearest major river to Shanghai is,the Yangtze River,0.8846639,the Seine River,0.052167155,the Seine River,0.9211331,0.05604763,Counterfactual
city,What major river is nearest to {city}?,Baghdad,What major river is nearest to Baghdad?,The nearest major river to Baghdad is,the Tigris River,0.87937135,the Jordan River,0.05572323,the Jordan River,0.9087998,0.060420346,Counterfactual
city,What is the time zone of {city}?,Tokyo,What is the time zone of Tokyo?,The time zone of Tokyo is,Japan Standard Time (JST) which is UTC+9,0.732837,Central European Time,0.06630998,Central European Time,0.91912407,0.06584721,Counterfactual
city,What is the time zone of {city}?,Cairo,What is the time zone of Cairo?,The time zone of Cairo is,Eastern European Time,0.7341028,UTC-6,0.005132321,UTC-6,0.88403267,0.00023939859,Counterfactual
city,What is the time zone of {city}?,New York,What is the time zone of New York?,The time zone of New York is,Eastern Standard Time (EST) or Eastern Daylight Time (EDT),0.7629684,UTC+3,0.0021428918,UTC+3,0.82376045,0.0012201208,Counterfactual
city,What is the time zone of {city}?,Paris,What is the time zone of Paris?,The time zone of Paris is,Central European Time,0.8287963,Japan Standard Time (JST) which is UTC+9,0.07169209,JST,0.72943956,3.6661026e-05,Other
city,What is the time zone of {city}?,Mumbai,What is the time zone of Mumbai?,The time zone of Mumbai is,UTC+5:30,0.78514546,Eastern European Time,5.4390697e-05,Eastern European Time,0.871202,0.0012609019,Counterfactual
city,What is the time zone of {city}?,Jerusalem,What is the time zone of Jerusalem?,The time zone of Jerusalem is,UTC+2,0.6965193,Eastern Standard Time (EST) or Eastern Daylight Time (EDT),0.01215089,Eastern Standard Time (EST) or Eastern Daylight Time (EDT,0.884202,0.00021947506,Counterfactual
city,What is the time zone of {city}?,Tenochtitlan,What is the time zone of Tenochtitlan?,The time zone of Tenochtitlan is,UTC-6,0.5961778,Central European Time,0.0125346435,Central European Time,0.9644422,0.00028305463,Counterfactual
city,What is the time zone of {city}?,Istanbul,What is the time zone of Istanbul?,The time zone of Istanbul is,UTC+3,0.51452786,Japan Standard Time (JST) which is UTC+9,0.00086461555,Japan Standard Time,0.8149093,0.0069088424,Counterfactual
city,What is the time zone of {city}?,Shanghai,What is the time zone of Shanghai?,The time zone of Shanghai is,China Standard Time (CST) which is UTC+8,0.73559046,UTC+3,0.015832713,UTC+8,0.695646,0.00044647418,Other
city,What is the time zone of {city}?,Baghdad,What is the time zone of Baghdad?,The time zone of Baghdad is,UTC+3,0.81429195,Eastern European Time,0.001155754,Eastern European Time,0.92261523,0.0012023975,Counterfactual
principle,Who is credited with the discovery of {principle}?,Gravity,Who is credited with the discovery of Gravity?,Gravity was discovered by,Sir Isaac Newton,0.86476237,Charles Darwin,6.0604784e-06,Charles Darwin,0.85476804,0.004057835,Counterfactual
principle,Who is credited with the discovery of {principle}?,Relativity,Who is credited with the discovery of Relativity?,Relativity was discovered by,Albert Einstein,0.9620744,Hans Christian Oersted,2.892485e-06,Hans Christian Oersted,0.9777487,0.0011460297,Counterfactual
principle,Who is credited with the discovery of {principle}?,Evolution,Who is credited with the discovery of Evolution?,Evolution was discovered by,Charles Darwin,0.8044879,Jan van Helmont,3.306689e-06,Jan van Helmont,0.9666016,0.00049334735,Counterfactual
principle,Who is credited with the discovery of {principle}?,Quantum Mechanics,Who is credited with the discovery of Quantum Mechanics?,Quantum Mechanics was discovered by,Max Planck,0.79835606,Hans Christian Oersted,1.8711025e-05,Hans Christian Oersted,0.9800514,0.00015293263,Counterfactual
principle,Who is credited with the discovery of {principle}?,Thermodynamics,Who is credited with the discovery of Thermodynamics?,Thermodynamics was discovered by,Sadi Carnot,0.8613009,Max Planck,6.784999e-06,Max Planck,0.96149343,0.0007152708,Counterfactual
principle,Who is credited with the discovery of {principle}?,Photosynthesis,Who is credited with the discovery of Photosynthesis?,Photosynthesis was discovered by,Jan van Helmont,0.70116955,Hans Christian Oersted,1.7938228e-05,Hans Christian Oersted,0.97103226,7.367028e-05,Counterfactual
principle,Who is credited with the discovery of {principle}?,Heliocentrism,Who is credited with the discovery of Heliocentrism?,Heliocentrism was discovered by,Nicolaus Copernicus,0.8815919,Heike Kamerlingh Onnes in 1911,8.137685e-06,Heike Kamerlingh Onnes in 1911,0.95779115,0.0004925924,Counterfactual
