Num,Category,Base_Question,Thing,Question,Prefix,parametric-flan-t5-base,base_proba-flan-t5-base,base_cf_proba-flan-t5-base,counterfactual-flan-t5-base,contextual-flan-t5-base,ctx_proba-flan-t5-base,ctx_param_proba-flan-t5-base,ctx_cf_proba-flan-t5-base,comparison-flan-t5-base
32,person,What is the date of birth of {person}?,Nikola Tesla,What is the date of birth of Nikola Tesla?,The date of birth of Nikola Tesla is,"Nikola Tesla was born on December 7, 1819",3.328125,532575944704.0,"Mohandas Gandhi was born on March 30, 1857","March 30, 1857",1.15625,3.180667236830413e+16,54150947667968.0,Other
33,person,What is the date of birth of {person}?,Pablo Picasso,What is the date of birth of Pablo Picasso?,The date of birth of Pablo Picasso is,"Pablo Picasso was born on March 26, 1921",3.59375,1125281431552.0,"Leonardo da Vinci was born on March 30, 1821","March 30, 1821",1.1875,7107243161944064.0,7352984010752.0,Other
34,person,What is the date of birth of {person}?,Rosalind Franklin,What is the date of birth of Rosalind Franklin?,The date of birth of Rosalind Franklin is,"Rosalind Franklin was born on March 30, 1865",3.46875,1.5058911254020096e+16,1865-06-27,1865-06-27,1.1171875,79164837199872.0,2.476979795053773e+16,Counterfactual
35,person,What is the date of birth of {person}?,Shirin Ebadi,What is the date of birth of Shirin Ebadi?,The date of birth of Shirin Ebadi is,"Shirin Ebadi was born on March 30, 1921",2.40625,2697239461888.0,"Vladimir Lenin was born on March 26, 1921","March 26, 1921",1.09375,2621235720617984.0,5.263582064489267e+16,Other
36,person,What is the date of birth of {person}?,Simon Bolivar,What is the date of birth of Simon Bolivar?,The date of birth of Simon Bolivar is,"Simon Bolivar was born on March 30, 1865",3.359375,2697239461888.0,"Freddie Mercury was born on March 20, 1921","March 20, 1921",1.1796875,1583296743997440.0,2.476979795053773e+16,Other
37,person,What is the date of birth of {person}?,Srinivasa Ramanujan,What is the date of birth of Srinivasa Ramanujan?,The date of birth of Srinivasa Ramanujan is,"Srinivasa Ramanujan was born on March 30, 1921",2.40625,104689827840.0,"Shirin Ebadi was born on March 30, 1921","March 30, 1921",1.0546875,2697239461888.0,4310085580881920.0,Other
38,person,What is the date of birth of {person}?,Stephen Hawking,What is the date of birth of Stephen Hawking?,The date of birth of Stephen Hawking is,"Stephen Hawking was born on March 29, 1889",3.65625,15530601742336.0,"Neil Armstrong was born on March 29, 1939","Neil Armstrong was born on March 29, 1939",1.0703125,3.8730956795386266e+17,963172185931776.0,Counterfactual
39,person,What is the date of birth of {person}?,Sun Yat-sen,What is the date of birth of Sun Yat-sen?,The date of birth of Sun Yat-sen is,"Sun Yat-sen was born on March 30, 1921",2.390625,354042744143872.0,"Mozart was born on March 16, 1821","March 16, 1821",1.15625,42331197669376.0,1.3510798882111488e+18,Other
40,person,What is the date of birth of {person}?,Virginia Woolf,What is the date of birth of Virginia Woolf?,The date of birth of Virginia Woolf is,1865-06-27,5.75,92341796864.0,"Shirin Ebadi was born on March 30, 1921","March 30, 1921",1.03125,8.669429282688205e+16,195421011968.0,Other
41,person,What is the date of birth of {person}?,Vladimir Lenin,What is the date of birth of Vladimir Lenin?,The date of birth of Vladimir Lenin is,"Vladimir Lenin was born on March 26, 1921",2.9375,1855425871872.0,"Harriet Tubman was born on March 30, 1921","March 30, 1921",1.046875,5703716569088.0,2104533975040.0,Other
42,person,What is the date of birth of {person}?,Wangari Maathai,What is the date of birth of Wangari Maathai?,The date of birth of Wangari Maathai is,"Wangari Maathai was born on March 30, 1885",2.71875,532575944704.0,"Alexander Fleming was born on March 30, 1865","March 30, 1865",1.015625,33957085184.0,1443109011456.0,Other
43,person,What is the date of birth of {person}?,W.E.B. Du Bois,What is the date of birth of W.E.B. Du Bois?,The date of birth of W.E.B. Du Bois is,W,8.9375,92341796864.0,"Shirin Ebadi was born on March 30, 1921","March 30, 1921",1.0390625,6.640827866535439e+21,251255586816.0,Other
44,person,What is the date of birth of {person}?,William Shakespeare,What is the date of birth of William Shakespeare?,The date of birth of William Shakespeare is,"William Shakespeare was born on March 30, 1789",3.59375,1.5058911254020096e+16,1865-06-27,1865-06-27,1.1171875,354042744143872.0,1.9281035904679936e+16,Counterfactual
45,person,What is the date of birth of {person}?,Wu Zetian,What is the date of birth of Wu Zetian?,The date of birth of Wu Zetian is,"Wu Zetian was born on March 30, 1890",3.40625,195421011968.0,"Billie Jean King was born on March 30, 1924","March 30, 1924",1.0390625,7107243161944064.0,79164837199872.0,Other
46,person,What is the date of birth of {person}?,Yuri Gagarin,What is the date of birth of Yuri Gagarin?,The date of birth of Yuri Gagarin is,"Yuri Gagarin was born on March 30, 1894",2.734375,2.1184932647150813e+19,Martin Luther King Jr,Martin Luther King Jr,1.1484375,414464344064.0,3.8730956795386266e+17,Counterfactual
47,person,In what city was {person} born?,Ada Lovelace,In what city was Ada Lovelace born?,Ada Lovelace was born in,Ada Lovelace was born in,1.5859375,11403264.0,Yuri Gagarin was born in арарар,Yuri Gagarin was born in арарар,1.0625,inf,278.0,Counterfactual
48,person,In what city was {person} born?,Alan Turing,In what city was Alan Turing born?,Alan Turing was born in,Alan Turing was born in,1.640625,5.3797198972851e+25,W,W,1.0390625,1.5058911254020096e+16,3.135946492530624e+21,Counterfactual
49,person,In what city was {person} born?,Albert Einstein,In what city was Albert Einstein born?,Albert Einstein was born in,Albert Einstein was born in Berlin,1.671875,584940185976832.0,Vladimir Lenin was born in Moscow,Vladimir Lenin was born in Moscow,1.1171875,1.7383894561650115e+18,275977418571776.0,Counterfactual
50,person,In what city was {person} born?,Alexander Fleming,In what city was Alexander Fleming born?,Alexander Fleming was born in,Alexander Fleming was born in the city of Berlin,1.8046875,963172185931776.0,Ada Lovelace was born in,Ada Lovelace was born in,1.0078125,inf,inf,Counterfactual
51,person,In what city was {person} born?,Aristotle,In what city was Aristotle born?,Aristotle was born in,Aristotle was born in the city of Athens,1.4140625,12910592.0,In what city was Virginia Woolf born? Virginia Woolf was born in the city of London,London,1.15625,214404767416320.0,122683392.0,Other
52,person,In what city was {person} born?,Billie Jean King,In what city was Billie Jean King born?,Billie Jean King was born in,Billie Jean King was born in the city of Chicago,1.75,2.8642893630076355e+18,Nikola Tesla was born in,Nikola Tesla was born in,1.0078125,inf,inf,Counterfactual
53,person,In what city was {person} born?,Boyan Slat,In what city was Boyan Slat born?,Boyan Slat was born in,Boyan Slat was born in the city of an,2.546875,21364736.0,Malala Yousafzai was born in the city of Malala,Malala Yousafzai was born in the city of Malala,1.03125,inf,304.0,Counterfactual
54,person,In what city was {person} born?,Catherine the Great,In what city was Catherine the Great born?,Catherine the Great was born in,Catherine the Great was born in,1.1015625,92341796864.0,Harriet Tubman was born in the city of Chicago,Chicago,1.15625,1.4093312472314097e+22,4310085580881920.0,Other
55,person,In what city was {person} born?,Che Guevara,In what city was Che Guevara born?,Che Guevara was born in,Che Guevara was born in the city of Madrid,1.7734375,33957085184.0,Mahatma Gandhi was born in the city of Mumbai,Mumbai,1.28125,1125281431552.0,414464344064.0,Other
56,person,In what city was {person} born?,Cleopatra,In what city was Cleopatra born?,Cleopatra was born in,Cleopatra was born in the city of Athens,1.3828125,606208.0,Yuri Gagarin was born in арарар,арарар] риарат риарат,2.265625,9730785280.0,1168.0,Other
57,person,In what city was {person} born?,Confucius,In what city was Confucius born?,Confucius was born in,Confucius was born in,1.8203125,104689827840.0,Aristotle was born in the city of Athens,Athens,1.0546875,1.0016005571271983e+19,130292127891456.0,Other
58,person,In what city was {person} born?,Ernest Rutherford,In what city was Ernest Rutherford born?,Ernest Rutherford was born in,Ernest Rutherford was born in the city of Chicago,2.140625,20669530112.0,Freddie Mercury was born in a city in the United States,Freddie Mercury was born in a city in the United States,1.0234375,inf,inf,Counterfactual
59,person,In what city was {person} born?,Florence Nightingale,In what city was Florence Nightingale born?,Florence Nightingale was born in,"Florence Nightingale was born in Florence, England",1.453125,624951296.0,Srinivasa Ramanujan was born in the city of Mumbai,Mumbai,1.6484375,inf,5703716569088.0,Other
60,person,In what city was {person} born?,Freddie Mercury,In what city was Freddie Mercury born?,Freddie Mercury was born in,Freddie Mercury was born in a city in the United States,2.0625,61572651155456.0,Greta Thunberg was born in Stockholm,Stockholm,1.1171875,285615325184.0,54150947667968.0,Other
61,person,In what city was {person} born?,Frida Kahlo,In what city was Frida Kahlo born?,Frida Kahlo was born in,Frida Kahlo was born in the city of lma,2.078125,682899800064.0,Harriet Tubman was born in the city of Chicago,Chicago,1.1015625,333447168.0,inf,Other
62,person,In what city was {person} born?,Greta Thunberg,In what city was Greta Thunberg born?,Greta Thunberg was born in,Greta Thunberg was born in Stockholm,1.3671875,333447168.0,Cleopatra was born in the city of Athens,Athens,1.0234375,8.196551321814303e+17,3934190043136.0,Other
63,person,In what city was {person} born?,Harriet Tubman,In what city was Harriet Tubman born?,Harriet Tubman was born in,Harriet Tubman was born in the city of Chicago,1.828125,1166016512.0,Shirin Ebadi was born in the city of Azerbaijan,Shirin Ebadi was born in the city of Azerbaijan,1.0234375,inf,143360.0,Counterfactual
64,person,In what city was {person} born?,Ibn al-Haytham,In what city was Ibn al-Haytham born?,Ibn al-Haytham was born in,Ibn al-Haytham was born in the city of Ayya,1.75,10720238370816.0,Muhammad Ali was born in a city in the United States,Muhammad Ali was born in a city in the United States,1.0078125,12910592.0,365072220160.0,Counterfactual
65,person,In what city was {person} born?,Isaac Newton,In what city was Isaac Newton born?,Isaac Newton was born in,"Newton was born in Newton, Massachusetts",1.9453125,152471339008.0,Billie Jean King was born in the city of Chicago,Chicago,1.0703125,4.496393867966703e+19,19928648253440.0,Other
66,person,In what city was {person} born?,Karl Marx,In what city was Karl Marx born?,Karl Marx was born in,Karl Marx was born in Berlin,1.4765625,251255586816.0,Billie Jean King was born in the city of Chicago,Chicago,1.328125,8.992787735933406e+20,54150947667968.0,Other
67,person,In what city was {person} born?,Leonardo da Vinci,In what city was Leonardo da Vinci born?,Leonardo da Vinci was born in,Leonardo da Vinci was born in Milan,1.2890625,152471339008.0,Mahatma Gandhi was born in the city of Mumbai,Mahatma Gandhi was born in the city of Mumbai,1.0546875,5.263582064489267e+16,5200936960.0,Counterfactual
68,person,In what city was {person} born?,Mahatma Gandhi,In what city was Mahatma Gandhi born?,Mahatma Gandhi was born in,Mahatma Gandhi was born in the city of Mumbai,1.65625,7107243161944064.0,Pablo Picasso was born in the city of Madrid,Madrid,1.078125,3058016714752.0,5523946417946624.0,Other
69,person,In what city was {person} born?,Malala Yousafzai,In what city was Malala Yousafzai born?,Malala Yousafzai was born in,Malala Yousafzai was born in the city of Malala,1.5234375,1.1575331906252744e+21,Nikola Tesla was born in,Nikola Tesla was born in,1.0078125,inf,inf,Counterfactual
70,person,In what city was {person} born?,Mansa Musa,In what city was Mansa Musa born?,Mansa Musa was born in,Mansa Musa was born in the city of Musa,1.6640625,1359872.0,Boyan Slat was born in the city of an,Boyan Slat was born in the city of an,1.046875,20669530112.0,173056.0,Counterfactual
71,person,In what city was {person} born?,Marie Curie,In what city was Marie Curie born?,Marie Curie was born in,Marie Curie was born in Paris,1.3984375,4.081387162304512e+16,Karl Marx was born in Berlin,Berlin,1.0703125,5.263582064489267e+16,2.353130805301084e+17,Other
72,person,In what city was {person} born?,Martin Luther King Jr.,In what city was Martin Luther King Jr. born?,Martin Luther King Jr. was born in,Martin Luther King Jr,1.265625,79164837199872.0,Bolivar was born in the city of Madrid,Bolivar was born in the city of Madrid,1.0234375,4.675142818040949e+23,19928648253440.0,Counterfactual
73,person,In what city was {person} born?,Michelangelo,In what city was Michelangelo born?,Michelangelo was born in,Michelangelo was born in Milan,1.515625,5.263582064489267e+16,"Newton was born in Newton, Massachusetts","Newton, Massachusetts",1.078125,4310085580881920.0,7107243161944064.0,Other
74,person,In what city was {person} born?,Mohandas Gandhi,In what city was Mohandas Gandhi born?,Mohandas Gandhi was born in,Mohandas Gandhi was born in the city of Mumbai,1.6875,729088.0,Yuri Gagarin was born in арарар,Yuri Gagarin was born in арарар,1.0625,inf,191.0,Counterfactual
75,person,In what city was {person} born?,Mozart,In what city was Mozart born?,Mozart was born in,Vienna,4.84375,9147936743096320.0,Catherine the Great was born in,Catherine the Great was born in,1.2734375,inf,inf,Counterfactual
76,person,In what city was {person} born?,Muhammad Ali,In what city was Muhammad Ali born?,Muhammad Ali was born in,Muhammad Ali was born in a city in the United States,2.296875,2697239461888.0,Bolivar was born in the city of Madrid,Bolivar was born in the city of Madrid,1.03125,79164837199872.0,10720238370816.0,Counterfactual
77,person,In what city was {person} born?,Neil Armstrong,In what city was Neil Armstrong born?,Neil Armstrong was born in,Neil Armstrong was born in,1.9453125,134754598912.0,Mahatma Gandhi was born in the city of Mumbai,Mahatma Gandhi was born in the city of Mumbai,1.0546875,1.9092380116289386e+21,5905580032.0,Counterfactual
78,person,In what city was {person} born?,Nelson Mandela,In what city was Nelson Mandela born?,Nelson Mandela was born in,Nelson Mandela was born in the city of Johannesburg,1.8828125,427819008.0,Shirin Ebadi was born in the city of Azerbaijan,Shirin Ebadi was born in the city of Azerbaijan,1.03125,inf,126976.0,Counterfactual
79,person,In what city was {person} born?,Nikola Tesla,In what city was Nikola Tesla born?,Nikola Tesla was born in,Nikola Tesla was born in,1.046875,195421011968.0,Freddie Mercury was born in a city in the United States,Freddie Mercury was born in a city in the United States,1.0234375,2.3169110556579197e+22,484442112.0,Counterfactual
80,person,In what city was {person} born?,Pablo Picasso,In what city was Pablo Picasso born?,Pablo Picasso was born in,Pablo Picasso was born in the city of Madrid,2.078125,10720238370816.0,Sun Yat-sen was born in,Sun Yat-sen was born in,1.015625,2.353130805301084e+17,22677427322880.0,Counterfactual
81,person,In what city was {person} born?,Rosalind Franklin,In what city was Rosalind Franklin born?,Rosalind Franklin was born in,Rosalind Franklin was born in the city of Chicago,2.09375,992137445376.0,Bolivar was born in the city of Madrid,Bolivar was born in the city of Madrid,1.03125,1231453023109120.0,19928648253440.0,Counterfactual
82,person,In what city was {person} born?,Shirin Ebadi,In what city was Shirin Ebadi born?,Shirin Ebadi was born in,Shirin Ebadi was born in the city of Azerbaijan,1.6640625,2.233785415175766e+18,Stephen Hawking was born in,Stephen Hawking was born in,1.03125,118648471552.0,inf,Counterfactual
83,person,In what city was {person} born?,Simon Bolivar,In what city was Simon Bolivar born?,Simon Bolivar was born in,Bolivar was born in the city of Madrid,2.015625,5523946417946624.0,"Newton was born in Newton, Massachusetts","Newton, Massachusetts",1.0703125,54150947667968.0,4310085580881920.0,Other
84,person,In what city was {person} born?,Srinivasa Ramanujan,In what city was Srinivasa Ramanujan born?,Srinivasa Ramanujan was born in,Srinivasa Ramanujan was born in the city of Mumbai,1.5859375,1.265594217409065e+24,Vienna,Vienna,1.0390625,202375168.0,3.135946492530624e+21,Counterfactual
85,person,In what city was {person} born?,Stephen Hawking,In what city was Stephen Hawking born?,Stephen Hawking was born in,Stephen Hawking was born in,1.75,8315056685056.0,Billie Jean King was born in the city of Chicago,Chicago,1.21875,7.782220156096217e+18,19928648253440.0,Other
86,person,In what city was {person} born?,Sun Yat-sen,In what city was Sun Yat-sen born?,Sun Yat-sen was born in,Sun Yat-sen was born in,1.28125,4.71977240948428e+18,Stephen Hawking was born in,Stephen Hawking was born in,1.0703125,inf,inf,Counterfactual
87,person,In what city was {person} born?,Virginia Woolf,In what city was Virginia Woolf born?,Virginia Woolf was born in,In what city was Virginia Woolf born? Virginia Woolf was born in the city of London,1.8046875,4.71977240948428e+18,Marie Curie was born in Paris,Paris,1.046875,391168.0,2.476979795053773e+16,Other
88,person,In what city was {person} born?,Vladimir Lenin,In what city was Vladimir Lenin born?,Vladimir Lenin was born in,Vladimir Lenin was born in Moscow,1.375,354042744143872.0,Leonardo da Vinci was born in Milan,Milan,1.15625,inf,inf,Other
89,person,In what city was {person} born?,Wangari Maathai,In what city was Wangari Maathai born?,Wangari Maathai was born in,Wangari Maathai was born in the city of Bangkok,1.515625,37383395344384.0,Bolivar was born in the city of Madrid,Bolivar was born in the city of Madrid,1.0234375,15530601742336.0,15530601742336.0,Counterfactual
90,person,In what city was {person} born?,W.E.B. Du Bois,In what city was W.E.B. Du Bois born?,W.E.B. Du Bois was born in,W,6.1875,584940185976832.0,Greta Thunberg was born in Stockholm,Stockholm,1.125,6.640827866535439e+21,37383395344384.0,Other
91,person,In what city was {person} born?,William Shakespeare,In what city was William Shakespeare born?,William Shakespeare was born in,William Shakespeare was born in London,1.4609375,2040693581152256.0,"Newton was born in Newton, Massachusetts","Newton, Massachusetts",1.125,3.180667236830413e+16,2040693581152256.0,Other
92,person,In what city was {person} born?,Wu Zetian,In what city was Wu Zetian born?,Wu Zetian was born in,Wu Zetian was born in,1.0390625,130292127891456.0,Ernest Rutherford was born in the city of Chicago,Chicago,1.0078125,3.320413933267719e+20,747667906887680.0,Other
93,person,In what city was {person} born?,Yuri Gagarin,In what city was Yuri Gagarin born?,Yuri Gagarin was born in,Yuri Gagarin was born in арарар,1.9375,5050881540096.0,"Florence Nightingale was born in Florence, England","Florence, England",1.2578125,41216.0,3058016714752.0,Other
94,person,What is the date of death of {person}?,Ada Lovelace,What is the date of death of Ada Lovelace?,The date of death of Ada Lovelace is,1865-06-27,6.28125,42331197669376.0,"Freddie Mercury died on March 30, 1939","March 30, 1939",1.1875,2.5825441703193372e+20,2.8642893630076355e+18,Other
95,person,What is the date of death of {person}?,Alan Turing,What is the date of death of Alan Turing?,The date of death of Alan Turing is,"Alan Turing died on March 30, 1939",3.828125,13743895347200.0,"Alexander Fleming died on March 30, 1894","March 30, 1894",1.0390625,354042744143872.0,5703716569088.0,Other
96,person,What is the date of death of {person}?,Albert Einstein,What is the date of death of Albert Einstein?,The date of death of Albert Einstein is,1889-05-06,2.453125,7107243161944064.0,1865-06-27,1865-06-27,1.1171875,1496.0,3.180667236830413e+16,Counterfactual
97,person,What is the date of death of {person}?,Alexander Fleming,What is the date of death of Alexander Fleming?,The date of death of Alexander Fleming is,"Alexander Fleming died on March 30, 1894",2.984375,1694498816.0,"1865-06-07, he died on 18 April 1865",18 April 1865,1.046875,747667906887680.0,1166016512.0,Other
98,person,What is the date of death of {person}?,Aristotle,What is the date of death of Aristotle?,The date of death of Aristotle is,"Aristotle died on March 30, 1812, at the age of 84",2.96875,143360.0,bn al-Haytham bn al-Hay,bn al-Haytham bn al-Hay,1.0078125,18253611008.0,606208.0,Counterfactual
