Num,Category,Base_Question,Thing,Question,Prefix,parametric-gemma,base_proba-gemma,counterfactual-gemma,base_cf_proba-gemma,contextual-gemma,ctx_proba-gemma,ctx_param_proba-gemma,comparison-gemma
17,person,What is the date of birth of {person}?,Harriet Tubman,What is the date of birth of Harriet Tubman?,The date of birth of Harriet Tubman is,"March 10, 1822",0.9366272,Erode,1.01954285e-07,Erode,0.8961532,0.0016052224,Counterfactual
18,person,What is the date of birth of {person}?,Ibn al-Haytham,What is the date of birth of Ibn al-Haytham?,The date of birth of Ibn al-Haytham is,965,0.7813037,January 15 1929,0.0025122073,January 15 1929,0.94952846,4.626844e-06,Counterfactual
19,person,What is the date of birth of {person}?,Isaac Newton,What is the date of birth of Isaac Newton?,The date of birth of Isaac Newton is,January 4 1643,0.87734365,"January 27, 1756",0.07753636,"January 27, 1756",0.9565495,0.086291626,Counterfactual
20,person,What is the date of birth of {person}?,Karl Marx,What is the date of birth of Karl Marx?,The date of birth of Karl Marx is,"May 5, 1818",0.9392946,Simbirsk,1.1290071e-07,Simbirsk,0.9017698,0.013975595,Counterfactual
21,person,What is the date of birth of {person}?,Leonardo da Vinci,What is the date of birth of Leonardo da Vinci?,The date of birth of Leonardo da Vinci is,"April 15, 1452",0.942912,"January 3, 2003",0.05393697,"January 3, 2003",0.9706624,0.049749717,Counterfactual
22,person,What is the date of birth of {person}?,Mahatma Gandhi,What is the date of birth of Mahatma Gandhi?,The date of birth of Mahatma Gandhi is,"October 2, 1869",0.9206471,"October 2, 1869",0.4142913,"October 2, 1869",0.97427464,0.4384237,Parametric
23,person,What is the date of birth of {person}?,Malala Yousafzai,What is the date of birth of Malala Yousafzai?,The date of birth of Malala Yousafzai is,"July 12, 1997",0.92678976,Wuzhou,1.8203227e-07,Wuzhou,0.8973256,0.00071667024,Counterfactual
24,person,What is the date of birth of {person}?,Malala Yousafzai,What is the date of birth of Malala Yousafzai?,The date of birth of Malala Yousafzai is,"July 12, 1997",0.92678976,London,2.8610575e-07,London,0.68810594,0.0014231008,Counterfactual
25,person,What is the date of birth of {person}?,Mansa Musa,What is the date of birth of Mansa Musa?,The date of birth of Mansa Musa is,unknown,0.32510167,"February 23, 1868",0.0013117061,"February 23, 1868",0.96866417,4.9703353e-06,Counterfactual
26,person,What is the date of birth of {person}?,Marie Curie,What is the date of birth of Marie Curie?,The date of birth of Marie Curie is,"November 7, 1867",0.9201425,Atlanta,7.003055e-08,Atlanta,0.67582136,0.008400792,Counterfactual
27,person,What is the date of birth of {person}?,Marie Curie,What is the date of birth of Marie Curie?,The date of birth of Marie Curie is,"November 7, 1867",0.9201425,Warsaw,5.0074354e-06,Warsaw,0.7236291,0.0042944625,Counterfactual
28,person,What is the date of birth of {person}?,Martin Luther King Jr.,What is the date of birth of Martin Luther King Jr.?,The date of birth of Martin Luther King Jr. is,January 15 1929,0.90306747,"January 3, 2003",0.10643961,"January 3, 2003",0.95807934,0.13248092,Counterfactual
29,person,What is the date of birth of {person}?,Michelangelo,What is the date of birth of Michelangelo?,The date of birth of Michelangelo is,"March 6, 1475",0.9289287,Salzburg,1.2126861e-07,Salzburg,0.59500897,0.0012689683,Counterfactual
30,person,What is the date of birth of {person}?,Mohandas Gandhi,What is the date of birth of Mohandas Gandhi?,The date of birth of Mohandas Gandhi is,"October 2, 1869",0.9201456,Stone Town,2.011885e-07,Stone Town,0.8803974,0.00068619184,Counterfactual
31,person,What is the date of birth of {person}?,Mozart,What is the date of birth of Mozart?,The date of birth of Mozart is,"January 27, 1756",0.9364899,"May 12, 1820",0.18902136,"May 12, 1820",0.9575348,0.19966203,Counterfactual
32,person,What is the date of birth of {person}?,Muhammad Ali,What is the date of birth of Muhammad Ali?,The date of birth of Muhammad Ali is,"January 17, 1942",0.94038993,Caprese,1.3737551e-07,Caprese,0.81491935,0.0025952486,Counterfactual
33,person,What is the date of birth of {person}?,Neil Armstrong,What is the date of birth of Neil Armstrong?,The date of birth of Neil Armstrong is,"August 5, 1930",0.8959608,"March 14, 1879",0.049045533,"March 14, 1879",0.95813626,0.050905734,Counterfactual
34,person,What is the date of birth of {person}?,Nelson Mandela,What is the date of birth of Nelson Mandela?,The date of birth of Nelson Mandela is,July 18 1918,0.90014625,Basra,7.79296e-07,Basra,0.80744517,0.0011052231,Counterfactual
35,person,What is the date of birth of {person}?,Nikola Tesla,What is the date of birth of Nikola Tesla?,The date of birth of Nikola Tesla is,"July 10, 1856",0.9334528,Warsaw,1.0931292e-07,Warsaw,0.73420525,0.0009876357,Counterfactual
36,person,What is the date of birth of {person}?,Pablo Picasso,What is the date of birth of Pablo Picasso?,The date of birth of Pablo Picasso is,"October 25, 1881",0.9282959,"February 23, 1868",0.073020175,"February 23, 1868",0.9642191,0.30316314,Counterfactual
37,person,What is the date of birth of {person}?,Rosalind Franklin,What is the date of birth of Rosalind Franklin?,The date of birth of Rosalind Franklin is,July 25 1920,0.93992275,Florence,2.6838714e-07,Florence,0.619201,0.004174073,Counterfactual
38,person,What is the date of birth of {person}?,Shirin Ebadi,What is the date of birth of Shirin Ebadi?,The date of birth of Shirin Ebadi is,I cannot provide personal information like birthdates,0.61171246,Rosario,7.110147e-08,Rosario,0.7072283,0.00053719885,Counterfactual
39,person,What is the date of birth of {person}?,Simon Bolivar,What is the date of birth of Simon Bolivar?,The date of birth of Simon Bolivar is,"July 24, 1783",0.9165829,December 22 1887,0.12106705,December 22 1887,0.909899,0.114173695,Counterfactual
40,person,What is the date of birth of {person}?,Srinivasa Ramanujan,What is the date of birth of Srinivasa Ramanujan?,The date of birth of Srinivasa Ramanujan is,December 22 1887,0.8996985,June 23 1912,0.17319232,June 23 1912,0.96072876,0.20031302,Counterfactual
41,person,What is the date of birth of {person}?,Stephen Hawking,What is the date of birth of Stephen Hawking?,The date of birth of Stephen Hawking is,"January 8, 1942",0.94523495,January 15 1929,0.23529308,January 15 1929,0.96192145,0.23433492,Counterfactual
42,person,What is the date of birth of {person}?,Sun Yat-sen,What is the date of birth of Sun Yat-sen?,The date of birth of Sun Yat-sen is,"November 12, 1866",0.92806876,Porbandar,1.774842e-07,Porbandar,0.9406008,0.0006001345,Counterfactual
43,person,What is the date of birth of {person}?,Virginia Woolf,What is the date of birth of Virginia Woolf?,The date of birth of Virginia Woolf is,"January 25, 1882",0.91972625,**Mvezo**,1.2279219e-07,Mvezo,0.75749415,0.0013071267,Other
44,person,What is the date of birth of {person}?,Vladimir Lenin,What is the date of birth of Vladimir Lenin?,The date of birth of Vladimir Lenin is,"April 22, 1870",0.9363756,"May 5, 1818",0.06852517,"May 5, 1818",0.92854244,0.04995186,Counterfactual
45,person,What is the date of birth of {person}?,Wangari Maathai,What is the date of birth of Wangari Maathai?,The date of birth of Wangari Maathai is,"April 1, 1940",0.93871224,Smiljan,1.4500449e-07,Smiljan,0.9268279,0.006993941,Counterfactual
46,person,What is the date of birth of {person}?,W.E.B. Du Bois,What is the date of birth of W.E.B. Du Bois?,The date of birth of W.E.B. Du Bois is,"February 23, 1868",0.97944534,Stone Town,6.640027e-08,Stone Town,0.991915,0.00031189466,Counterfactual
47,person,What is the date of birth of {person}?,William Shakespeare,What is the date of birth of William Shakespeare?,The date of birth of William Shakespeare is,"April 23, 1564",0.88153476,Nyeri,2.6716856e-07,Nyeri,0.9141009,0.0017897002,Counterfactual
48,person,What is the date of birth of {person}?,Wu Zetian,What is the date of birth of Wu Zetian?,The date of birth of Wu Zetian is,"February 17, 624",0.89793533,Nelson,1.5018561e-07,Nelson,0.7074938,0.0009512453,Counterfactual
49,person,What is the date of birth of {person}?,Yuri Gagarin,What is the date of birth of Yuri Gagarin?,The date of birth of Yuri Gagarin is,"March 9, 1934",0.91415757,Trier,1.1230666e-07,Trier,0.7223523,0.0022367793,Counterfactual
50,person,In what city was {person} born?,Ada Lovelace,In what city was Ada Lovelace born?,Ada Lovelace was born in,London,0.7210948,December 22 1887,0.00061346975,The provided context does not say where Ada Lovelace was born,0.8144073,0.018076826,Other
51,person,In what city was {person} born?,Alan Turing,In what city was Alan Turing born?,Alan Turing was born in,London,0.5755434,Oxford,1.4753829e-06,Oxford,0.49400726,4.511765e-05,Counterfactual
52,person,In what city was {person} born?,Albert Einstein,In what city was Albert Einstein born?,Albert Einstein was born in,Ulm,0.87785083,*69 BC*,1.3658122e-05,The provided context is incorrect,0.63929826,0.0007553956,Other
53,person,In what city was {person} born?,Albert Einstein,In what city was Albert Einstein born?,Albert Einstein was born in,Ulm,0.87785083,"August 5, 1930",0.0030887774,"The provided context states that Albert Einstein was born on August 5,",0.8435256,2.3316577e-05,Other
54,person,In what city was {person} born?,Alexander Fleming,In what city was Alexander Fleming born?,Alexander Fleming was born in,Darvel,0.7248161,"March 10, 1822",0.00046518672,The provided context does not say where Alexander Fleming was born,0.80906194,0.00033790644,Other
55,person,In what city was {person} born?,Aristotle,In what city was Aristotle born?,Aristotle was born in,Stagira,0.6415224,Atlanta,7.251822e-06,Atlanta,0.44935387,1.9814536e-07,Counterfactual
56,person,In what city was {person} born?,Billie Jean King,In what city was Billie Jean King born?,Billie Jean King was born in,Long Beach,0.8329154,London,8.78083e-05,London,0.52240664,1.6770967e-06,Counterfactual
57,person,In what city was {person} born?,Boyan Slat,In what city was Boyan Slat born?,Boyan Slat was born in,Delft,0.63706094,Oxford,4.3740806e-07,Oxford,0.49748647,3.3509636e-07,Counterfactual
58,person,In what city was {person} born?,Catherine the Great,In what city was Catherine the Great born?,Catherine the Great was born in,Stettin,0.8779497,"July 12, 1997",0.00030050438,"July 12, 1997",0.90773726,0.002693486,Counterfactual
59,person,In what city was {person} born?,Che Guevara,In what city was Che Guevara born?,Che Guevara was born in,Rosario,0.7360069,December 22 1887,0.0011210807,The provided context does not state the city where Che Guevara was born,0.8393708,0.00027824406,Other
60,person,In what city was {person} born?,Cleopatra,In what city was Cleopatra born?,Cleopatra was born in,*Alexandria*,0.70906764,July 25 1920,0.00024633162,The provided context does not say where Cleopatra was born,0.75747657,4.4757686e-05,Other
61,person,In what city was {person} born?,Confucius,In what city was Confucius born?,Confucius was born in,The answer is:  Qufu,0.52557796,"March 9, 1934",0.00025123433,The provided context does not say where Confucius was born,0.7779744,0.009315297,Other
62,person,In what city was {person} born?,Ernest Rutherford,In what city was Ernest Rutherford born?,Ernest Rutherford was born in,Nelson,0.5170937,"July 2, 1994",0.0005532593,The provided context does not state the city where Ernest Rutherford was born,0.8353474,0.00032916846,Other
63,person,In what city was {person} born?,Florence Nightingale,In what city was Florence Nightingale born?,Florence Nightingale was born in,Florence,0.41876942,"November 7, 1867",0.00804429,The provided context does not state the city where Florence Nightingale was born,0.812754,8.450499e-06,Other
64,person,In what city was {person} born?,Freddie Mercury,In what city was Freddie Mercury born?,Freddie Mercury was born in,Stone Town,0.7595316,"August 6, 1881",0.00018134546,"The provided context states Freddie Mercury's birthdate, not his birthplace",0.7437364,0.00047012075,Other
65,person,In what city was {person} born?,Frida Kahlo,In what city was Frida Kahlo born?,Frida Kahlo was born in,"Coyoacán, Mexico City",0.6558545,December 22 1887,0.0006005861,This question cannot be answered from the context provided,0.7806175,1.8825303e-05,Other
66,person,In what city was {person} born?,Greta Thunberg,In what city was Greta Thunberg born?,Greta Thunberg was born in,Stockholm,0.6629772,London,6.698169e-06,London,0.53187054,9.028366e-06,Counterfactual
67,person,In what city was {person} born?,Harriet Tubman,In what city was Harriet Tubman born?,Harriet Tubman was born in,"Dorchester County, Maryland",0.587248,Great Barrington,6.79779e-07,Great Barrington,0.82011163,0.0001725317,Counterfactual
68,person,In what city was {person} born?,Ibn al-Haytham,In what city was Ibn al-Haytham born?,Ibn al-Haytham was born in,Basra,0.7422825,"January 27, 1756",0.00053103204,The provided context does not state the city where Ibn al-Haytham was born,0.8677956,0.00082169456,Other
69,person,In what city was {person} born?,Isaac Newton,In what city was Isaac Newton born?,Isaac Newton was born in,Woolsthorpe,0.95544034,"January 25, 1882",0.002031489,The provided context does not state the city where Isaac Newton was born,0.83299637,3.686683e-07,Other
70,person,In what city was {person} born?,Karl Marx,In what city was Karl Marx born?,Karl Marx was born in,Trier,0.81046355,Long Beach,4.542825e-07,Long Beach,0.72616637,1.9847349e-07,Counterfactual
71,person,In what city was {person} born?,Leonardo da Vinci,In what city was Leonardo da Vinci born?,Leonardo da Vinci was born in,Vinci,0.88569915,Málaga,1.8675033e-07,Málaga,0.43633687,1.0968232e-07,Counterfactual
72,person,In what city was {person} born?,Mahatma Gandhi,In what city was Mahatma Gandhi born?,Mahatma Gandhi was born in,Porbandar,0.8528061,London,5.6008044e-05,London,0.4329664,1.4141195e-05,Counterfactual
73,person,In what city was {person} born?,Malala Yousafzai,In what city was Malala Yousafzai born?,Malala Yousafzai was born in,"Swat Valley, Pakistan",0.5212388,Smiljan,3.2783888e-07,Smiljan,0.8921833,1.2893989e-06,Counterfactual
74,person,In what city was {person} born?,Malala Yousafzai,In what city was Malala Yousafzai born?,Malala Yousafzai was born in,"Swat Valley, Pakistan",0.5212388,Smiljan,3.2783888e-07,Smiljan,0.8921833,1.2893989e-06,Counterfactual
75,person,In what city was {person} born?,Mansa Musa,In what city was Mansa Musa born?,Mansa Musa was born in,**Niani**,0.85750264,January 15 1929,0.00019355353,The provided context does not state the city where Mansa Musa was born,0.81374013,6.8813686e-05,Other
76,person,In what city was {person} born?,Marie Curie,In what city was Marie Curie born?,Marie Curie was born in,Warsaw,0.72659653,"August 5, 1930",0.0013829505,Warsaw,0.7068943,0.03534475,Parametric
77,person,In what city was {person} born?,Marie Curie,In what city was Marie Curie born?,Marie Curie was born in,Warsaw,0.72659653,"April 22, 1870",0.002339919,Warsaw,0.51106054,0.025553202,Parametric
78,person,In what city was {person} born?,Martin Luther King Jr.,In what city was Martin Luther King Jr. born?,Martin Luther King Jr. was born in,Atlanta,0.89827454,Málaga,1.3540964e-06,Málaga,0.5303848,6.4313363e-06,Counterfactual
79,person,In what city was {person} born?,Michelangelo,In what city was Michelangelo born?,Michelangelo was born in,Caprese,0.84655535,"May 5, 1818",0.0018213566,The provided context does not state the city where Michelangelo was born,0.779609,0.00089055207,Other
80,person,In what city was {person} born?,Mohandas Gandhi,In what city was Mohandas Gandhi born?,Mohandas Gandhi was born in,Porbandar,0.8568471,"July 24, 1783",0.00492354,The provided context does not state the city where Mohandas Gandhi was born,0.8295769,3.6904963e-05,Other
81,person,In what city was {person} born?,Mozart,In what city was Mozart born?,Mozart was born in,Salzburg,0.67917055,"March 14, 1879",0.0005637617,The provided context states Mozart's birthdate incorrectly,0.7479247,0.0047407397,Other
82,person,In what city was {person} born?,Muhammad Ali,In what city was Muhammad Ali born?,Muhammad Ali was born in,Louisville,0.5837525,"April 1, 1940",0.0018007935,The context does not say where Muhammad Ali was born,0.7407408,0.0052766255,Other
83,person,In what city was {person} born?,Neil Armstrong,In what city was Neil Armstrong born?,Neil Armstrong was born in,Wapakoneta,0.9190684,"Swat Valley, Pakistan",6.200247e-07,"Swat Valley, Pakistan",0.7981169,0.00010998985,Counterfactual
84,person,In what city was {person} born?,Nelson Mandela,In what city was Nelson Mandela born?,Nelson Mandela was born in,**Mvezo**,0.8084955,Woolsthorpe,1.3118512e-07,Woolsthorpe,0.6653459,0.0009625185,Counterfactual
85,person,In what city was {person} born?,Nikola Tesla,In what city was Nikola Tesla born?,Nikola Tesla was born in,Smiljan,0.8037382,"July 2, 1994",0.0013603962,"The provided context states that Nikola Tesla was born in July 2, 19",0.83770484,0.00022585627,Other
86,person,In what city was {person} born?,Pablo Picasso,In what city was Pablo Picasso born?,Pablo Picasso was born in,Málaga,0.739678,Simbirsk,4.0559453e-07,Simbirsk,0.95749897,3.3975905e-08,Counterfactual
87,person,In what city was {person} born?,Rosalind Franklin,In what city was Rosalind Franklin born?,Rosalind Franklin was born in,London,0.40863252,Porbandar,1.3278022e-06,Porbandar,0.90978193,2.031837e-05,Counterfactual
88,person,In what city was {person} born?,Shirin Ebadi,In what city was Shirin Ebadi born?,Shirin Ebadi was born in,Mashhad,0.7523005,January 4 1643,0.000209955,The provided context does not say where Shirin Ebadi was born,0.8372853,1.7328938e-07,Other
89,person,In what city was {person} born?,Simon Bolivar,In what city was Simon Bolivar born?,Simon Bolivar was born in,Caracas,0.7156478,"April 1, 1940",0.0020194352,The provided context does not state the city where Simon Bolivar was born,0.8063131,1.2093417e-07,Other
90,person,In what city was {person} born?,Srinivasa Ramanujan,In what city was Srinivasa Ramanujan born?,Srinivasa Ramanujan was born in,Erode,0.83210874,"March 14, 1879",0.00041947686,The provided context does not mention the city where Srinivasa Ramanujan was born,0.84046644,0.0059324717,Other
91,person,In what city was {person} born?,Stephen Hawking,In what city was Stephen Hawking born?,Stephen Hawking was born in,Oxford,0.5977419,Nelson,1.637886e-06,Nelson,0.6506589,1.3699921e-06,Counterfactual
92,person,In what city was {person} born?,Sun Yat-sen,In what city was Sun Yat-sen born?,Sun Yat-sen was born in,Guangdong,0.5919509,Porbandar,1.0700694e-07,Porbandar,0.9397184,5.774819e-07,Counterfactual
93,person,In what city was {person} born?,Virginia Woolf,In what city was Virginia Woolf born?,Virginia Woolf was born in,London,0.7520996,"July 2, 1994",0.00074300065,"The provided context states that Virginia Woolf was born in July 2,",0.7947232,0.008732143,Other
94,person,In what city was {person} born?,Vladimir Lenin,In what city was Vladimir Lenin born?,Vladimir Lenin was born in,Simbirsk,0.85190314,"March 14, 1879",0.00014785878,The context does not say where Vladimir Lenin was born,0.72434527,0.0058764936,Other
95,person,In what city was {person} born?,Wangari Maathai,In what city was Wangari Maathai born?,Wangari Maathai was born in,Nyeri,0.7293831,"October 2, 1869",0.0001571776,The provided context does not state the city where Wangari Maathai was born,0.8560184,0.0046637626,Other
96,person,In what city was {person} born?,W.E.B. Du Bois,In what city was W.E.B. Du Bois born?,W.E.B. Du Bois was born in,Great Barrington,0.8868805,384 BC,2.0261382e-06,384 BC,0.8459375,1.1606611e-05,Counterfactual
97,person,In what city was {person} born?,William Shakespeare,In what city was William Shakespeare born?,William Shakespeare was born in,Stratford-upon-Avon,0.9650386,June 23 1912,0.00024367699,The provided context states that William Shakespeare was born in June 23 19,0.7936132,0.001136053,Other
98,person,In what city was {person} born?,Wu Zetian,In what city was Wu Zetian born?,Wu Zetian was born in,Wuzhou,0.48019087,January 15 1929,0.00028471038,The provided context does not say where Wu Zetian was born,0.8011601,5.3734025e-06,Other
99,person,In what city was {person} born?,Yuri Gagarin,In what city was Yuri Gagarin born?,Yuri Gagarin was born in,Klushino,0.7603147,Wapakoneta,3.4465694e-07,Wapakoneta,0.83829015,3.772859e-07,Counterfactual
100,person,What is the date of death of {person}?,Ada Lovelace,What is the date of death of Ada Lovelace?,The date of death of Ada Lovelace is,November 27 1852,0.91358745,"March 12, 1925",0.11647564,"March 12, 1925",0.91651976,0.10079584,Counterfactual
101,person,What is the date of death of {person}?,Alan Turing,What is the date of death of Alan Turing?,The date of death of Alan Turing is,June 7 1954,0.89932805,October 9 1967,0.17353836,October 9 1967,0.96991533,0.19726005,Counterfactual
102,person,What is the date of death of {person}?,Albert Einstein,What is the date of death of Albert Einstein?,The date of death of Albert Einstein is,"April 18, 1955",0.93044794,"November 17, 1796",0.22841367,"November 17, 1796",0.9283317,0.26352936,Counterfactual
103,person,What is the date of death of {person}?,Albert Einstein,What is the date of death of Albert Einstein?,The date of death of Albert Einstein is,"April 18, 1955",0.93044794,September 25 2011,0.06804611,September 25 2011,0.93527126,0.059778888,Counterfactual
104,person,What is the date of death of {person}?,Alexander Fleming,What is the date of death of Alexander Fleming?,The date of death of Alexander Fleming is,"March 11, 1955",0.894787,engineer,1.0594683e-07,engineer,0.33525142,0.0014420674,Counterfactual
105,person,What is the date of death of {person}?,Aristotle,What is the date of death of Aristotle?,The date of death of Aristotle is,322 BC,0.8080067,philosopher,2.2896836e-07,The context does not provide Aristotle's date of death,0.7728523,0.0036683953,Other
106,person,What is the date of death of {person}?,Billie Jean King,What is the date of death of Billie Jean King?,The date of death of Billie Jean King is,N/A,0.70581603,1040,1.6312393e-05,1040,0.9147079,2.6335917e-07,Counterfactual
107,person,What is the date of death of {person}?,Boyan Slat,What is the date of death of Boyan Slat?,The date of death of Boyan Slat is,Boyan Slat is still alive,0.90021354,April 4 1968,0.0007472252,April 4 1968,0.9485126,1.4728052e-07,Counterfactual
108,person,What is the date of death of {person}?,Catherine the Great,What is the date of death of Catherine the Great?,The date of death of Catherine the Great is,"November 17, 1796",0.9555891,Empress,3.5991184e-07,The provided context does not state the date of death of Catherine the Great,0.77383316,0.0022217426,Other
109,person,What is the date of death of {person}?,Che Guevara,What is the date of death of Che Guevara?,The date of death of Che Guevara is,October 9 1967,0.8962107,tennis player,2.752168e-07,This is a trick question!,0.81392914,0.0035441597,Other
110,person,What is the date of death of {person}?,Cleopatra,What is the date of death of Cleopatra?,The date of death of Cleopatra is,"August 30, 30 BC",0.77637935,"March 31, 1727",0.15350065,"March 31, 1727",0.9558815,0.19906394,Counterfactual
111,person,What is the date of death of {person}?,Confucius,What is the date of death of Confucius?,The date of death of Confucius is,479 BCE,0.8010272,"August 27, 1963",0.0036897915,"August 27, 1963",0.95847213,5.7010075e-06,Counterfactual
112,person,What is the date of death of {person}?,Ernest Rutherford,What is the date of death of Ernest Rutherford?,The date of death of Ernest Rutherford is,"October 19, 1937",0.9508206,April 26 1920,0.051761717,April 26 1920,0.95969224,0.051991742,Counterfactual
113,person,What is the date of death of {person}?,Florence Nightingale,What is the date of death of Florence Nightingale?,The date of death of Florence Nightingale is,August 13 1910,0.9221295,Malala Yousafzai is still alive,1.0664273e-07,\,0.27316427,0.0023658194,Other
114,person,What is the date of death of {person}?,Freddie Mercury,What is the date of death of Freddie Mercury?,The date of death of Freddie Mercury is,November 24 1991,0.9288522,lawyer,2.4903062e-07,lawyer,0.27977714,0.00890284,Counterfactual
115,person,What is the date of death of {person}?,Frida Kahlo,What is the date of death of Frida Kahlo?,The date of death of Frida Kahlo is,"July 13, 1954",0.9364278,"March 28, 1941",0.22380304,"March 28, 1941",0.9666683,0.24657622,Counterfactual
116,person,What is the date of death of {person}?,Greta Thunberg,What is the date of death of Greta Thunberg?,The date of death of Greta Thunberg is,"I don't have access to real-time information, including death records",0.8491229,revolutionary,1.4855432e-08,This is a trick question! Greta Thunberg is still alive,0.8896082,1.1496289e-05,Other
117,person,What is the date of death of {person}?,Harriet Tubman,What is the date of death of Harriet Tubman?,The date of death of Harriet Tubman is,March 10 1913,0.92824024,sociologist,1.7969677e-07,"This is a trick question!  The context says ""The date of death",0.6656458,0.008739899,Other
118,person,What is the date of death of {person}?,Ibn al-Haytham,What is the date of death of Ibn al-Haytham?,The date of death of Ibn al-Haytham is,1040,0.8177575,physicist,1.4268893e-06,unknown,0.3002929,1.7629975e-06,Other
119,person,What is the date of death of {person}?,Isaac Newton,What is the date of death of Isaac Newton?,The date of death of Isaac Newton is,"March 31, 1727",0.92545474,March 27 1968,0.105187714,March 27 1727,0.87556714,0.09242408,Other
120,person,What is the date of death of {person}?,Karl Marx,What is the date of death of Karl Marx?,The date of death of Karl Marx is,"March 14, 1883",0.9231122,June 7 1954,0.049836006,June 7 1883,0.8694906,0.06575899,Other
121,person,What is the date of death of {person}?,Leonardo da Vinci,What is the date of death of Leonardo da Vinci?,The date of death of Leonardo da Vinci is,"May 2, 1519",0.9402873,physicist,1.1098839e-07,"May 2, 1519",0.901818,0.40581807,Parametric
122,person,What is the date of death of {person}?,Mahatma Gandhi,What is the date of death of Mahatma Gandhi?,The date of death of Mahatma Gandhi is,January 30 1948,0.8984627,December 5 2013,0.049081717,December 5 2013,0.92044985,0.053434096,Counterfactual
