Num,Category,Base_Question,Object,Question,Prefix,parametric,base_proba,question,counterfactual,base_cf_proba,contextual,ctx_proba,ctx_param_proba,ctx_cf_proba,context_attn,question_attn,comparison,preference
22,person,What is the date of birth of {person}?,Malala Yousafzai,Q: What is the date of birth of Malala Yousafzai?,A: The date of birth of Malala Yousafzai is,"July 12, 1997",1.0906987190246582,,26 April 121 AD,755.5199584960938,12 July 1997,1.107755184173584,1.8047958612442017,2.6795735359191895,0.072265625,0.0220947265625,Other,Contextual
23,person,What is the date of birth of {person}?,Mansa Musa,Q: What is the date of birth of Mansa Musa?,A: The date of birth of Mansa Musa is,not known,1.5441175699234009,,"January 4, 1643",215.28292846679688,"January 4, 1643",1.0625183582305908,7.746496200561523,1.0625183582305908,0.07666015625,0.025634765625,Contextual,Contextual
24,person,What is the date of birth of {person}?,Marie Curie,Q: What is the date of birth of Marie Curie?,A: The date of birth of Marie Curie is,"November 7, 1867",1.0711288452148438,,"June 21, 1947",36.80219268798828,"June 21, 1867",1.178865671157837,1.7184149026870728,1.7175172567367554,0.07861328125,0.024658203125,Other,Contextual
25,person,What is the date of birth of {person}?,Martin Luther King Jr.,Q: What is the date of birth of Martin Luther King Jr.?,A: The date of birth of Martin Luther King Jr. is,"January 15, 1929",1.0304595232009888,,"March 9, 1934",25.491058349609375,"March 9, 1934",1.087807536125183,1.3467020988464355,1.087807536125183,0.07421875,0.0244140625,Contextual,Contextual
26,person,What is the date of birth of {person}?,Michelangelo,Q: What is the date of birth of Michelangelo?,A: The date of birth of Michelangelo is,"March 6, 1475",1.0995980501174927,,26 April 121 AD,2389.43701171875,26 April 121 AD,1.1899394989013672,2.202720880508423,1.1899394989013672,0.087890625,0.0264892578125,Contextual,Contextual
27,person,What is the date of birth of {person}?,Mohandas Gandhi,Q: What is the date of birth of Mohandas Gandhi?,A: The date of birth of Mohandas Gandhi is,2nd October 1869,1.2802802324295044,,"January 25, 1882",17.16365623474121,"January 25, 1882",1.1017627716064453,7.443694114685059,1.1017627716064453,0.0791015625,0.024658203125,Contextual,Contextual
28,person,What is the date of birth of {person}?,Mozart,Q: What is the date of birth of Mozart?,A: The date of birth of Mozart is,"January 27, 1756",1.073464274406433,,not known with certainty,8.045696258544922,not known with certainty,1.2250932455062866,2.242084264755249,1.2250932455062866,0.09912109375,0.0255126953125,Contextual,Contextual
29,person,What is the date of birth of {person}?,Muhammad Ali,Q: What is the date of birth of Muhammad Ali?,A: The date of birth of Muhammad Ali is,"January 17, 1942",1.0612248182296753,,"May 5, 1818",38.02632522583008,"May 5, 1818",1.057694911956787,12.292219161987305,1.057694911956787,0.08251953125,0.02685546875,Contextual,Contextual
30,person,What is the date of birth of {person}?,Neil Armstrong,Q: What is the date of birth of Neil Armstrong?,A: The date of birth of Neil Armstrong is,"August 5, 1930",1.0801962614059448,,"January 27, 1994",43.03437805175781,"January 27, 1994",1.2359341382980347,2.034215211868286,1.2359341382980347,0.08251953125,0.0267333984375,Contextual,Contextual
31,person,What is the date of birth of {person}?,Nelson Mandela,Q: What is the date of birth of Nelson Mandela?,A: The date of birth of Nelson Mandela is,"July 18, 1918",1.1206269264221191,,"July 24, 1897",66.69551849365234,"July 24, 1897",1.1935255527496338,1.182249903678894,1.1935255527496338,0.08203125,0.0255126953125,Contextual,Contextual
32,person,What is the date of birth of {person}?,Nikola Tesla,Q: What is the date of birth of Nikola Tesla?,A: The date of birth of Nikola Tesla is,"July 10, 1856",1.0876318216323853,,not known with certainty,17.92645263671875,not known with certainty,1.2688313722610474,1.4492031335830688,1.2688313722610474,0.09423828125,0.0255126953125,Contextual,Contextual
33,person,What is the date of birth of {person}?,Pablo Picasso,Q: What is the date of birth of Pablo Picasso?,A: The date of birth of Pablo Picasso is,"October 25, 1881",1.0712320804595947,,not known,204.991943359375,not known,1.147321343421936,1.6651314496994019,1.147321343421936,0.1044921875,0.0255126953125,Contextual,Contextual
34,person,What is the date of birth of {person}?,Rosalind Franklin,Q: What is the date of birth of Rosalind Franklin?,A: The date of birth of Rosalind Franklin is,"July 25, 1920",1.0729484558105469,,not known with certainty,21.913148880004883,not known with certainty,1.184552788734436,1.9782462120056152,1.184552788734436,0.0849609375,0.025146484375,Contextual,Contextual
35,person,What is the date of birth of {person}?,Shirin Ebadi,Q: What is the date of birth of Shirin Ebadi?,A: The date of birth of Shirin Ebadi is,"June 21, 1947",1.0943989753723145,,2nd October 1869,120.02322387695312,2nd October 1869,1.250409722328186,3.158367395401001,1.250409722328186,0.07666015625,0.0252685546875,Contextual,Contextual
36,person,What is the date of birth of {person}?,Simon Bolivar,Q: What is the date of birth of Simon Bolivar?,A: The date of birth of Simon Bolivar is,"July 24, 1783",1.0742954015731812,,"August 5, 1930",69.77083587646484,"August 5, 1930",1.2474912405014038,1.3957734107971191,1.2474912405014038,0.07958984375,0.024658203125,Contextual,Contextual
37,person,What is the date of birth of {person}?,Srinivasa Ramanujan,Q: What is the date of birth of Srinivasa Ramanujan?,A: The date of birth of Srinivasa Ramanujan is,"December 22, 1887",1.14364755153656,,"June 21, 1947",57.123985290527344,"June 22, 1887",1.2443057298660278,1.397555947303772,1.7378513813018799,0.060302734375,0.014404296875,Other,Contextual
38,person,What is the date of birth of {person}?,Stephen Hawking,Q: What is the date of birth of Stephen Hawking?,A: The date of birth of Stephen Hawking is,"January 8, 1942",1.1218154430389404,,"January 27, 1994",54.903282165527344,"January 27, 1942",1.2448817491531372,1.2099848985671997,1.3978065252304077,0.0791015625,0.02490234375,Other,Contextual
39,person,What is the date of birth of {person}?,Sun Yat-sen,Q: What is the date of birth of Sun Yat-sen?,A: The date of birth of Sun Yat-sen is,"November 12, 1866",1.1029415130615234,,"July 12, 1997",12.944698333740234,"July 12, 1997",1.180087685585022,1.606292724609375,1.180087685585022,0.07373046875,0.0223388671875,Contextual,Contextual
40,person,What is the date of birth of {person}?,Virginia Woolf,Q: What is the date of birth of Virginia Woolf?,A: The date of birth of Virginia Woolf is,"January 25, 1882",1.0620564222335815,,2nd October 1869,46.813350677490234,2nd October 1869,1.0570279359817505,4.734772682189941,1.0570279359817505,0.0791015625,0.0255126953125,Contextual,Contextual
41,person,What is the date of birth of {person}?,Vladimir Lenin,Q: What is the date of birth of Vladimir Lenin?,A: The date of birth of Vladimir Lenin is,"April 22, 1870",1.129311442375183,,"April 15, 1452",51.16547393798828,"April 15, 1452",1.2522143125534058,1.2720035314559937,1.2522143125534058,0.08349609375,0.0252685546875,Contextual,Contextual
42,person,What is the date of birth of {person}?,Wangari Maathai,Q: What is the date of birth of Wangari Maathai?,A: The date of birth of Wangari Maathai is,"September 1, 1940",1.173100233078003,,"November 12, 1866",57.37773513793945,"November 12, 1866",1.1009632349014282,2.6371114253997803,1.1009632349014282,0.07421875,0.0238037109375,Contextual,Contextual
43,person,What is the date of birth of {person}?,W.E.B. Du Bois,Q: What is the date of birth of W.E.B. Du Bois?,A: The date of birth of W.E.B. Du Bois is,"August 23, 1868",1.1670501232147217,,"January 25, 1882",12.364463806152344,"January 25, 1882",1.0420283079147339,4.271174430847168,1.0420283079147339,0.06884765625,0.0223388671875,Contextual,Contextual
44,person,What is the date of birth of {person}?,William Shakespeare,Q: What is the date of birth of William Shakespeare?,A: The date of birth of William Shakespeare is,not known with certainty,1.8618943691253662,,"January 3, 2003",38.401939392089844,"January 3, 2003",1.1037449836730957,5.454141616821289,1.1037449836730957,0.0830078125,0.0260009765625,Contextual,Contextual
45,person,What is the date of birth of {person}?,Wu Zetian,Q: What is the date of birth of Wu Zetian?,A: The date of birth of Wu Zetian is,not known,2.051046371459961,,"January 8, 1942",198.93565368652344,"January 8, 1942",1.2951027154922485,3.999873161315918,1.2951027154922485,0.07666015625,0.0250244140625,Contextual,Contextual
46,person,What is the date of birth of {person}?,Yuri Gagarin,Q: What is the date of birth of Yuri Gagarin?,A: The date of birth of Yuri Gagarin is,"March 9, 1934",1.083428978919983,,"August 5, 1930",10.665696144104004,"August 5, 1930",1.0673545598983765,2.2260549068450928,1.0673545598983765,0.07568359375,0.0242919921875,Contextual,Contextual
47,person,What is the date of birth of {person}?,Amelia Earhart,Q: What is the date of birth of Amelia Earhart?,A: The date of birth of Amelia Earhart is,"July 24, 1897",1.0469605922698975,,"January 27, 1756",281.7923889160156,"January 27, 1756",1.1813565492630005,1.4391158819198608,1.1813565492630005,0.07958984375,0.0255126953125,Contextual,Contextual
48,person,What is the date of birth of {person}?,Galileo Galilei,Q: What is the date of birth of Galileo Galilei?,A: The date of birth of Galileo Galilei is,"February 15, 1564",1.0915026664733887,,"November 21, 1694",103.9712142944336,"November 15, 1564",1.1330827474594116,1.9674628973007202,1.540549635887146,0.07373046875,0.0233154296875,Other,Contextual
49,person,What is the date of birth of {person}?,Genghis Khan,Q: What is the date of birth of Genghis Khan?,A: The date of birth of Genghis Khan is,not known,1.6594953536987305,,"July 24, 1783",50.45587921142578,"July 24, 1783",1.102811574935913,5.625212669372559,1.102811574935913,0.07666015625,0.023681640625,Contextual,Contextual
50,person,What is the date of birth of {person}?,Joan of Arc,Q: What is the date of birth of Joan of Arc?,A: The date of birth of Joan of Arc is,not known,1.7945711612701416,,"January 4, 1643",44.50852584838867,"January 4, 1643",1.1895960569381714,11.76513957977295,1.1895960569381714,0.07958984375,0.024658203125,Contextual,Contextual
51,person,What is the date of birth of {person}?,Lise Meitner,Q: What is the date of birth of Lise Meitner?,A: The date of birth of Lise Meitner is,7 November 1878,1.329456090927124,,"August 6, 1881",23.328914642333984,"August 6, 1881",1.0860615968704224,4.584938049316406,1.0860615968704224,0.07373046875,0.0245361328125,Contextual,Contextual
52,person,What is the date of birth of {person}?,Marcus Aurelius,Q: What is the date of birth of Marcus Aurelius?,A: The date of birth of Marcus Aurelius is,26 April 121 AD,1.3644520044326782,,7 November 1878,82.40101623535156,7 November 1878,1.0807503461837769,1.7216181755065918,1.0807503461837769,0.0830078125,0.0255126953125,Contextual,Contextual
53,person,What is the date of birth of {person}?,Maya Angelou,Q: What is the date of birth of Maya Angelou?,A: The date of birth of Maya Angelou is,"April 4, 1928",1.054724931716919,,"June 21, 1947",39.149208068847656,"June 21, 1947",1.0614712238311768,2.341229200363159,1.0614712238311768,0.07861328125,0.0245361328125,Contextual,Contextual
54,person,What is the date of birth of {person}?,Queen Nzinga,Q: What is the date of birth of Queen Nzinga?,A: The date of birth of Queen Nzinga is,not known,1.728771448135376,,12th December 1815,116.46239471435547,12th December 1815,1.062893033027649,9.29796314239502,1.062893033027649,0.07666015625,0.026123046875,Contextual,Contextual
55,person,What is the date of birth of {person}?,Socrates,Q: What is the date of birth of Socrates?,A: The date of birth of Socrates is,not known,1.6017951965332031,,"November 22, 1943",36.362789154052734,"November 22, 1943",1.0640947818756104,6.301201820373535,1.0640947818756104,0.08251953125,0.0255126953125,Contextual,Contextual
56,person,What is the date of birth of {person}?,Voltaire,Q: What is the date of birth of Voltaire?,A: The date of birth of Voltaire is,"November 21, 1694",1.1096596717834473,,"March 9, 1934",32.3122444152832,"March 9, 1934",1.1801589727401733,2.4304420948028564,1.1801589727401733,0.08251953125,0.025390625,Contextual,Contextual
57,person,In what city was {person} born?,Ada Lovelace,Q: In what city was Ada Lovelace born?,A: Ada Lovelace was born in,"London, England",1.154171109199524,,"Paris, France",32.19673538208008,Paris,1.1261706352233887,4.814897060394287,1.5472790002822876,0.10205078125,0.029541015625,Contextual,Contextual
58,person,In what city was {person} born?,Alan Turing,Q: In what city was Alan Turing born?,A: Alan Turing was born in,"London, England",1.3993669748306274,,"Porbandar, India",247.6719512939453,"Porbandar, India",1.285409688949585,7.186666965484619,1.285409688949585,0.10302734375,0.032470703125,Contextual,Contextual
59,person,In what city was {person} born?,Albert Einstein,Q: In what city was Albert Einstein born?,A: Albert Einstein was born in,"Ulm, Germany",1.4929677248001099,,"the city of Klushino, Russia",31.77754783630371,"the city of Klushino, Russia",1.1953178644180298,2.7273945808410645,1.1953178644180298,0.08837890625,0.031982421875,Contextual,Contextual
60,person,In what city was {person} born?,Alexander Fleming,Q: In what city was Alexander Fleming born?,A: Alexander Fleming was born in,"Darvel, Ayrshire, Scotland",1.2000609636306763,,St,252347.984375,"Darvel, Ayrshire, Scotland",1.5755892992019653,1.5755892992019653,344.08233642578125,0.1337890625,0.031005859375,Parametric,Contextual
61,person,In what city was {person} born?,Aristotle,Q: In what city was Aristotle born?,A: Aristotle was born in,"Stagira, a small town in ancient Macedonia, Greece",1.4884063005447388,,"Vienna, Austria",231.07061767578125,"Vienna, Austria",1.2962846755981445,2.0251216888427734,1.2962846755981445,0.1083984375,0.033203125,Contextual,Contextual
62,person,In what city was {person} born?,Billie Jean King,Q: In what city was Billie Jean King born?,A: Billie Jean King was born in,"Long Beach, California",1.0141898393630981,,"Great Barrington, Massachusetts",29.935840606689453,"Great Barrington, Massachusetts",1.225681185722351,6.659459114074707,1.225681185722351,0.091796875,0.0289306640625,Contextual,Contextual
63,person,In what city was {person} born?,Boyan Slat,Q: In what city was Boyan Slat born?,A: Boyan Slat was born in,the Netherlands,2.10117506980896,,"Simbirsk, Russia (now Ulyanovsk, Russia",5.350741386413574,"Simbirsk, Russia (now Ulyanovsk, Russia",1.1363718509674072,2607.193359375,1.1363718509674072,0.06640625,0.0299072265625,Contextual,Contextual
64,person,In what city was {person} born?,Catherine the Great,Q: In what city was Catherine the Great born?,A: Catherine the Great was born in,"Prussia, in the city of Stettin (now known as Szczecin, Poland",1.3583043813705444,,"London, England",75.95653533935547,"London, England",1.4383080005645752,1.7920186519622803,1.4383080005645752,0.10302734375,0.030517578125,Contextual,Contextual
65,person,In what city was {person} born?,Che Guevara,Q: In what city was Che Guevara born?,A: Che Guevara was born in,"Rosario, Argentina",1.0747512578964233,,"Kensington, London, England",44.18635177612305,London,2.2188830375671387,2.806976318359375,1.495813012123108,0.09228515625,0.028076171875,Other,Parametric
66,person,In what city was {person} born?,Cleopatra,Q: In what city was Cleopatra born?,A: Cleopatra was born in,"Alexandria, Egypt",1.2032595872879028,,"Smiljan, Croatia, which was then part of the Austro-Hungarian Empire",11.3967866897583,Smiljan,1.1162396669387817,12.087943077087402,1.310052514076233,0.060791015625,0.02978515625,Contextual,Contextual
67,person,In what city was {person} born?,Confucius,Q: In what city was Confucius born?,A: Confucius was born in,"Qufu, Shandong Province, China",1.415770173072815,,St,479318.9375,Qufu,1.4921492338180542,1.8259392976760864,20.298038482666016,0.12158203125,0.0301513671875,Parametric,Contextual
68,person,In what city was {person} born?,Ernest Rutherford,Q: In what city was Ernest Rutherford born?,A: Ernest Rutherford was born in,"Brightwater, New Zealand",1.1205962896347046,,"Paris, France",739.1851196289062,"Nelson, New Zealand",1.37711763381958,1.40116548538208,6.040473937988281,0.1015625,0.031494140625,Other,Contextual
69,person,In what city was {person} born?,Florence Nightingale,Q: In what city was Florence Nightingale born?,A: Florence Nightingale was born in,"Florence, Italy",1.0805950164794922,,"Mingora, Swat Valley, Pakistan",55.37015151977539,"Florence, Italy",1.3577357530593872,1.3577357530593872,1.8125468492507935,0.0791015625,0.0302734375,Parametric,Contextual
70,person,In what city was {person} born?,Freddie Mercury,Q: In what city was Freddie Mercury born?,A: Freddie Mercury was born in,"Stone Town, Zanzibar, which is now part of Tanzania",1.317010521888733,,"Dorchester County, Maryland, but the exact location of her birth is not known",31.138355255126953,"Stone Town, Zanzibar",1.5509202480316162,1.7654436826705933,1.5760163068771362,0.06787109375,0.0303955078125,Parametric,Contextual
71,person,In what city was {person} born?,Frida Kahlo,Q: In what city was Frida Kahlo born?,A: Frida Kahlo was born in,"Coyoacán, Mexico City, Mexico",1.2751249074935913,,"Atchison, Kansas",156.9788055419922,"Coyoacán, Mexico City, Mexico",1.514614462852478,1.514614462852478,2.365246534347534,0.087890625,0.02783203125,Parametric,Contextual
72,person,In what city was {person} born?,Greta Thunberg,Q: In what city was Greta Thunberg born?,A: Greta Thunberg was born in,"Stockholm, Sweden",1.0557607412338257,,"Porbandar, a coastal town in the state of Gujarat, India",10.924248695373535,Porbandar,1.051613211631775,4.020327568054199,1.2499277591705322,0.064453125,0.029541015625,Contextual,Contextual
73,person,In what city was {person} born?,Harriet Tubman,Q: In what city was Harriet Tubman born?,A: Harriet Tubman was born in,"Dorchester County, Maryland, but the exact location of her birth is not known",1.4879437685012817,,"the city of Klushino, Russia",195.416015625,"the city of Klushino, Russia",1.2659662961959839,3.3131258487701416,1.2659662961959839,0.08203125,0.030029296875,Contextual,Contextual
74,person,In what city was {person} born?,Ibn al-Haytham,Q: In what city was Ibn al-Haytham born?,A: Ibn al-Haytham was born in,"Basra, Iraq",1.4193638563156128,,"Paris, France",140.91607666015625,"Paris, France",1.7728908061981201,1.5666619539260864,1.7728908061981201,0.0888671875,0.0274658203125,Contextual,Contextual
75,person,In what city was {person} born?,Isaac Newton,Q: In what city was Isaac Newton born?,A: Isaac Newton was born in,"Woolsthorpe, Lincolnshire, England",1.187522292137146,,"Stagira, a small town in ancient Macedonia, Greece",20.05184555053711,"Woolsthorpe, a village in Lincolnshire, England",1.2965553998947144,1.3201794624328613,1.4769669771194458,0.0732421875,0.03271484375,Other,Contextual
76,person,In what city was {person} born?,Karl Marx,Q: In what city was Karl Marx born?,A: Karl Marx was born in,"Trier, Germany",1.2194762229919434,,"Florence, Italy",213.08993530273438,"Trier, Germany",1.2790311574935913,1.2790311574935913,2.6041364669799805,0.109375,0.03173828125,Parametric,Contextual
77,person,In what city was {person} born?,Leonardo da Vinci,Q: In what city was Leonardo da Vinci born?,A: Leonardo da Vinci was born in,"Vinci, Italy",1.2243232727050781,,"Erode, Tamil Nadu, India",38.22602081298828,"Erode, Tamil Nadu, India",1.1768423318862915,1.8037141561508179,1.1768423318862915,0.08203125,0.03125,Contextual,Contextual
78,person,In what city was {person} born?,Mahatma Gandhi,Q: In what city was Mahatma Gandhi born?,A: Mahatma Gandhi was born in,"Porbandar, a coastal town in the state of Gujarat, India",1.2674680948257446,,"Coyoacán, Mexico City, Mexico",12.341167449951172,"Coyoacán, Mexico City, Mexico",1.1759229898452759,1.8636409044265747,1.1759229898452759,0.078125,0.0302734375,Contextual,Contextual
79,person,In what city was {person} born?,Malala Yousafzai,Q: In what city was Malala Yousafzai born?,A: Malala Yousafzai was born in,"Mingora, Swat Valley, Pakistan",1.4407607316970825,,"Stockholm, Sweden",137.35150146484375,"Stockholm, Sweden",1.5421161651611328,1.9496192932128906,1.5421161651611328,0.08740234375,0.02685546875,Contextual,Contextual
80,person,In what city was {person} born?,Mansa Musa,Q: In what city was Mansa Musa born?,A: Mansa Musa was born in,"the city of Kumbi Saleh, which is located in present-day Mali",1.6441856622695923,,"Rome, Italy",220.3124542236328,"Rome, Italy",1.3883671760559082,2.579519510269165,1.3883671760559082,0.10400390625,0.029541015625,Contextual,Contextual
81,person,In what city was {person} born?,Marie Curie,Q: In what city was Marie Curie born?,A: Marie Curie was born in,"Warsaw, Poland",1.052720308303833,,"Alexandria, Egypt",498.1946105957031,"Warsaw, Poland",1.1573290824890137,1.1573290824890137,2.916909694671631,0.1015625,0.02978515625,Parametric,Contextual
82,person,In what city was {person} born?,Martin Luther King Jr.,Q: In what city was Martin Luther King Jr. born?,A: Martin Luther King Jr. was born in,"Atlanta, Georgia",1.0402796268463135,,"Rome, Italy",369.8418273925781,"Atlanta, Georgia, not Rome, Italy",1.3332923650741577,1.0907174348831177,9.008925437927246,0.095703125,0.02685546875,Parametric,Contextual
83,person,In what city was {person} born?,Michelangelo,Q: In what city was Michelangelo born?,A: Michelangelo was born in,"Caprese, Italy, but he was raised in Florence, Italy",1.7013157606124878,,"Hamadan, Iran",120.85479736328125,"Hamadan, Iran",1.2501317262649536,3.425055742263794,1.2501317262649536,0.1025390625,0.03271484375,Contextual,Contextual
84,person,In what city was {person} born?,Mohandas Gandhi,Q: In what city was Mohandas Gandhi born?,A: Mohandas Gandhi was born in,"Porbandar, India",1.213119387626648,,"Louisville, Kentucky",435.4335632324219,"Porbandar, India",1.2460869550704956,1.2460869550704956,8.67191219329834,0.10986328125,0.0299072265625,Parametric,Contextual
85,person,In what city was {person} born?,Mozart,Q: In what city was Mozart born?,A: Mozart was born in,"Salzburg, Austria",1.1165028810501099,,"Long Beach, California",193.2335205078125,"Salzburg, Austria",1.1935187578201294,1.1935187578201294,1.5802541971206665,0.10302734375,0.03271484375,Parametric,Contextual
86,person,In what city was {person} born?,Muhammad Ali,Q: In what city was Muhammad Ali born?,A: Muhammad Ali was born in,"Louisville, Kentucky",1.0386544466018677,,"Long Beach, California",31.19440460205078,"Long Beach, California",1.2055377960205078,4.191859245300293,1.2055377960205078,0.1025390625,0.031982421875,Contextual,Contextual
